Film,Production,Cast
The Devil Inside,Paramount Pictures / Insurge Pictures,"William Brent Bell (director/screenplay); Matthew Peterman (screenplay); Suzan Crowley, Fernanda Andrade, Simon Quarterman, Evan Helmuth, Bonnie Morgan, John Prosky, Ionut Grama, Brian Johnson"
Beneath the Darkness,Sunset Pictures,"Martin Guigui (director); Bruce Wilkinson (screenplay); Dennis Quaid, Tony Oller, Aimee Teegarden, Stephen Lunsford, Devon Werkheiser, Brett Cullen"
Norwegian Wood,Red Flag Releasing,"Tran Anh Hung (director/screenplay); Kenichi Matsuyama, Rinko Kikuchi, Kiko Mizuhara"
Contraband,Universal Pictures / Relativity Media / Working Title Films,"Baltasar Kormákur (director); Aaron Guzikowski (screenplay); Mark Wahlberg, Kate Beckinsale, Ben Foster, Giovanni Ribisi, Lukas Haas, Caleb Landry Jones, J.K. Simmons, Diego Luna, Robert Wahlberg, Jaqueline Fleming, William Lucking, David O'Hara, Kirk Bovill, Ólafur Darri Ólafsson, Jason Mitchell, Michael Beasley, Lucky Johnson, Viktor Hernandez"
Joyful Noise,Warner Bros. Pictures / Alcon Entertainment,"Todd Graff (director/screenplay); Queen Latifah, Dolly Parton, Kris Kristofferson, Jeremy Jordan, Keke Palmer, Dexter Darden, Courtney B. Vance, Jesse L. Martin, Andy Karl, DeQuina Moore, Francis Jue, Shameik Moore, Kirk Franklin, Karen Peck, Chloe Bailey, Paul Woolfolk"
Beauty and the Beast 3D,Walt Disney Pictures / Walt Disney Animation Studios,"Gary Trousdale, Kirk Wise (directors); Linda Woolverton (screenplay); Paige O'Hara, Robby Benson, Richard White, Jerry Orbach, David Ogden Stiers, Angela Lansbury, Bradley Pierce, Rex Everhart, Jesse Corti, Hal Smith, Jo Anne Worley, Mary Kay Bergman, Brian Cummings, Alvin Epstein, Tony Jay, Kimmy Robertson, Kath Soucie, Frank Welker, Jack Angel, Bruce Adler, Vanna Bonta, Liz Callaway, Philip L. Clarke, Jennifer Darling, Bill Farmer, Sherry Lynn, Caroline Peyton, Patrick Pinney, Phil Proctor, Gordon Stanley, Alec Murphy, Mickie McGowan, Scott Barnes, Maureen Brennan, Margery Daley"
Albatross,IFC Films,"Niall MacCormick (director); Tamzin Rafn (screenplay); Jessica Brown Findlay, Sebastian Koch, Julia Ormond, Felicity Jones"
The Divide,Anchor Bay Films,"Xavier Gens (director); Karl Mueller, Eron Sheean (screenplay); Lauren German, Michael Biehn, Milo Ventimiglia, Courtney B. Vance, Ivan Gonzalez, Michael Eklund, Abbey Thickson, Ashton Holmes, Rosanna Arquette"
Don't Go in the Woods,Tribeca Film,"Vincent D'Onofrio (director); Sam Bisbee, Joe Vinciguerra (screenplays)"
Sing Your Song,S2BN Films,Susanne Rostock (director); Harry Belafonte
