Film,Production,Cast
6,BloodRayne,Boll KG Productions
13,Glory Road,Walt Disney Pictures / Jerry Bruckheimer Films
20,End of the Spear,Rocky Mountain Pictures
24,Wristcutters: A Love Story,Autonomous Films
27,Annapolis,Touchstone Pictures
3,Something New,Focus Features
10,Curious George,Universal Pictures / Imagine Entertainment
17,Date Movie,20th Century Fox / Regency Enterprises
24,Madea's Family Reunion,Lionsgate / The Tyler Perry Company
3,16 Blocks,Warner Bros. Pictures / Alcon Entertainment / Millennium Films / The Donners' Company
10,Failure to Launch,Paramount Pictures
17,She's the Man,DreamWorks Pictures / Lakeshore Entertainment / The Donners' Company
24,Inside Man,Universal Pictures / Imagine Entertainment / 40 Acres and a Mule Filmworks
31,ATL,Warner Bros. Pictures / Overbrook Entertainment
7,The Benchwarmers,Columbia Pictures / Revolution Studios / Happy Madison Productions
14,Scary Movie 4,The Weinstein Company / Dimension Films / Miramax Films
21,American Dreamz,Universal Pictures
28,Akeelah and the Bee,Lionsgate / 2929 Entertainment / Starbucks Entertainment
5,An American Haunting,Freestyle Releasing / After Dark Films / Remstar
12,Just My Luck,20th Century Fox / Regency Enterprises / Cheyenne Enterprises / Silvercup Studios
19,The Da Vinci Code,Columbia Pictures / Imagine Entertainment / Skylark Productions
26,X-Men: The Last Stand,20th Century Fox / Marvel Entertainment / Dune Entertainment / The Donners' Company
2,The Break-Up,Universal Pictures
6,The Omen,20th Century Fox
9,Cars,Walt Disney Pictures / Pixar Animation Studios
16,The Fast and the Furious: Tokyo Drift,Universal Pictures / Relativity Media
23,Click,Columbia Pictures / Revolution Studios / Happy Madison Productions
28,Superman Returns,Warner Bros. Pictures / Legendary Pictures / DC Comics / Peters Entertainment
30,The Devil Wears Prada,Fox 2000 Pictures
7,Pirates of the Caribbean: Dead Man's Chest,Walt Disney Pictures / Jerry Bruckheimer Films
14,Little Man,Columbia Pictures / Revolution Studios
21,Clerks II,Metro-Goldwyn-Mayer / The Weinstein Company / View Askew Productions
26,Little Miss Sunshine,Fox Searchlight Pictures / Big Beach / Deep River Productions
28,The Ant Bully,Warner Bros. Pictures / Legendary Pictures / Playtone / DNA Productions
4,Barnyard,Paramount Pictures / Nickelodeon Movies / O Entertainment
9,World Trade Center,Paramount Pictures
11,Pulse,The Weinstein Company / Dimension Films / Distant Horizons
18,Accepted,Universal Pictures / Shady Acres Entertainment
25,Beerfest,Warner Bros. Pictures / Legendary Pictures
1,Crank,Lionsgate / Lakeshore Entertainment / RadicalMedia
2,The Namesake,Fox Searchlight Pictures
8,The Covenant,Screen Gems / Lakeshore Entertainment
15,The Black Dahlia,Universal Pictures / Millennium Films
22,All the King's Men,Columbia Pictures / Relativity Media / Phoenix Pictures
29,Facing the Giants,Samuel Goldwyn Films / Sherwood Pictures / Provident Films
6,The Departed,Warner Bros. Pictures
13,The Grudge 2,Columbia Pictures / Ghost House Pictures
20,Flags of Our Fathers,DreamWorks Pictures / Amblin Entertainment
27,Babel,Paramount Vantage / Anonymous Content / Central Films / Media Rights Capital
3,Borat! Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,Fox 2000 Pictures
9,Breaking and Entering,Metro-Goldwyn-Mayer / The Weinstein Company / Miramax Films / Mirage Enterprises / Alliance Films
10,A Good Year,20th Century Fox / Scott Free Productions
17,Bobby,Metro-Goldwyn-Mayer / The Weinstein Company / Bold Films
20,Griffin & Phoenix,Metro-Goldwyn-Mayer / Gold Circle Films / Sidney Kimmel Entertainment
22,Deck the Halls,20th Century Fox / Regency Enterprises
1,The Nativity Story,New Line Cinema / Temple Hill Entertainment
3,Miss Potter,Metro-Goldwyn-Mayer / The Weinstein Company / Phoenix Pictures
8,Apocalypto,Touchstone Pictures / Icon Productions
15,Charlotte's Web,Paramount Pictures / Walden Media / The K Entertainment Company / Nickelodeon Movies
19,Salvage,Off Hollywood Pictures
20,Letters from Iwo Jima,Warner Bros. Pictures / DreamWorks Pictures / Amblin Entertainment / Malpaso Productions
22,The Good Shepherd,Universal Pictures / Morgan Creek Productions
25,Black Christmas,Metro-Goldwyn-Mayer / Dimension Films / 2929 Entertainment / Hard Eight Pictures
27,Perfume: The Story of a Murderer,DreamWorks Pictures
