Film,Production,Cast
The 355,Universal Pictures / Freckle Films / FilmNation Entertainment,"Simon Kinberg (director/screenplay); Theresa Rebeck (screenplay); Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger, Fan Bingbing, Sebastian Stan, Édgar Ramírez"
The Legend of La Llorona,Saban Films / Ageless Pictures,"Patricia Harris Seeley (director/screenplay); José Prendes, Cameron Larson (screenplay); Autumn Reeser, Antonio Cupo, Danny Trejo"
The Commando,Saban Films / Premiere Entertainment,"Asif Akbar (director); Koji Steven Sakai (screenplay); Mickey Rourke, Michael Jai White"
American Siege,Vertical Entertainment,"Edward Drake (director/screenplay); Timothy V. Murphy, Bruce Willis"
Scream,Paramount Pictures / Spyglass Media Group / Radio Silence Productions,"Matt Bettinelli-Olpin, Tyler Gillett (director); James Vanderbilt, Guy Busick (screenplay); Melissa Barrera, Mason Gooding, Jenna Ortega, Jack Quaid, Marley Shelton, Courteney Cox, David Arquette, Neve Campbell"
Hotel Transylvania: Transformania,Amazon Studios / Columbia Pictures / Sony Pictures Animation,"Jennifer Kluska, Derek Drymon (directors); Amos Vernon, Nunzio Randazzo, Genndy Tartakovsky (screenplay); Andy Samberg, Selena Gomez, Kathryn Hahn, Jim Gaffigan, Steve Buscemi, Molly Shannon, David Spade, Keegan-Michael Key, Brian Hull, Fran Drescher, Brad Abrell, Asher Blinkoff, Tyler ""Ninja"" Blevins, Zoe Berri"
Shattered,Lionsgate / Grindstone Entertainment Group,"Luis Prieto (director); David Loughery (screenplay); Cameron Monaghan, Frank Grillo, Lilly Krug, John Malkovich"
The Royal Treatment,Netflix,"Rick Jacobson (director); Holly Hester (screenplay); Laura Marano, Mena Massoud"
Redeeming Love,Universal Pictures / Pinnacle Peak Pictures,"D.J. Caruso (director/screenplay); Francine Rivers (screenplay); Abigail Cowen, Tom Lewis, Logan Marshall-Green, Ke-Xi Wu, Famke Janssen, Nina Dobrev, Eric Dane"
The King's Daughter,Gravitas Ventures / Bliss Media,"Sean McNamara (director); Berry Berman, James Schamus (screenplay); Pierce Brosnan, Kaya Scodelario, Benjamin Walker, Rachel Griffiths, Julie Andrews, Fan Bingbing, William Hurt"
The Tiger Rising,Highland Film Group / The Avenue,"Ray Giarratana (director/screenplay); Christian Convery, Dennis Quaid, Queen Latifah, Madalen Mills, Katharine McPhee, Sam Trammell"
Hellblazers,Tubi,"Justin Lee (director/screenplay); Bruce Dern, Billy Zane, Tony Todd, Adrienne Barbeau"
The Fallout,HBO Max / Warner Bros. Pictures / New Line Cinema,"Megan Park (director/screenplay); Jenna Ortega, Maddie Ziegler, Niles Fitch, Will Ropp, John Ortiz, Julie Bowen, Shailene Woodley"
Home Team,Netflix / Happy Madison Productions,"Charles Kinnane, Daniel Kinnane (director); Keith Blum, Chris Titone (screenplay); Kevin James, Taylor Lautner, Rob Schneider, Jackie Sandler, Tait Blum"
The Ice Age Adventures of Buck Wild,Disney+ / Walt Disney Pictures / 20th Century Animation,"John C. Donkin (director); Ray DeLaurentis, Jim Hecht, William Schifrin (screenplay); Simon Pegg, Utkarsh Ambudkar, Justina Machado, Vincent Tong"
Clean,IFC Films,"Paul Solet (director/screenplay); Adrien Brody (screenplay); Adrien Brody, Glenn Fleshler, Mykelti Williamson, RZA"
Sundown,Bleecker Street,"Michel Franco (director/screenplay); Tim Roth, Charlotte Gainsbourg"
Jackass Forever,Paramount Pictures / MTV Entertainment Studios,"Jeff Tremaine (director); Johnny Knoxville, Spike Jonze (screenplay); Johnny Knoxville, Steve-O, Chris Pontius, Dave England, Wee Man, Danger Ehren, Preston Lacy"
Moonfall,Lionsgate / Huayi Brothers / Centropolis Entertainment / AGC Studios,"Roland Emmerich (director/screenplay); Harald Kloser, Spenser Cohen (screenplay); Halle Berry, Patrick Wilson, John Bradley, Michael Peña, Charlie Plummer, Kelly Yu, Donald Sutherland"
Last Looks,RLJE Films,"Tim Kirkby (director); Howard Michael Gould (screenplay); Charlie Hunnam, Mel Gibson, Morena Baccarin, Rupert Friend, Dominic Monaghan, Jacob Scipio, Clancy Brown"
The Long Night,Well Go USA Entertainment,"Rich Ragsdale (director); Robert Sheppe, Mark Young (screenplay); Scout Taylor-Compton, Nolan Gerard Funk, Jeff Fahey, Deborah Kara Unger"
Kimi,HBO Max / Warner Bros. Pictures / New Line Cinema,"Steven Soderbergh (director); David Koepp (screenplay); Zoë Kravitz, Rita Wilson, Byron Bowers"
Shut In,Voltage Pictures,"D.J. Caruso (director); Melanie Toast (screenplay); Rainey Qualley, Jake Horowitz, Luciana VanDette, Vincent Gallo"
Death on the Nile,20th Century Studios / Scott Free Productions / TSG Entertainment,"Kenneth Branagh (director); Michael Green (screenplay); Tom Bateman, Annette Bening, Kenneth Branagh, Russell Brand, Ali Fazal, Dawn French, Gal Gadot, Armie Hammer, Rose Leslie, Emma Mackey, Sophie Okonedo, Jennifer Saunders, Letitia Wright"
Marry Me,Universal Pictures / Perfect World Pictures / Peacock,"Kat Coiro (director); John Rogers, Tami Sagher, Harper Dill (screenplay); Jennifer Lopez, Owen Wilson, Maluma, John Bradley, Chloe Coleman, Sarah Silverman"
Blacklight,Open Road Films / Briarcliff Entertainment,"Mark Williams (director/screenplay); Nick May (screenplay); Liam Neeson, Emmy Raver-Lampman, Taylor John Smith, Aidan Quinn"
I Want You Back,Amazon Studios,"Jason Orley (director); Isaac Aptaker, Elizabeth Berger (screenplay); Charlie Day, Jenny Slate, Scott Eastwood, Manny Jacinto, Gina Rodriguez"
Tall Girl 2,Netflix,"Emily Ting (director); Sam Wolfson (screenplay); Ava Michelle, Griffin Gluck, Sabrina Carpenter, Anjelika Washington, Angela Kinsey, Steve Zahn"
