Film,Production,Cast
Underworld: Blood Wars,Screen Gems / Lakeshore Entertainment / Sketch Films,"Anna Foerster (director); Cory Goodman (screenplay); Kate Beckinsale, Theo James, Lara Pulver, James Faulkner, Charles Dance"
Arsenal,Lionsgate Premiere,"Steven C. Miller (director); Jason Mosberg (screenplay); Adrian Grenier, Johnathon Schaech, Nicolas Cage, Lydia Hull, Christopher Coppola, Megan Leonard, Christopher Rob Bowen, Tyler Jon Olson, Shea Buckner, John Cusack"
Between Us,IFC Films / Nora Films,"Rafael Palacio Illingworth (director/screenplay); Olivia Thirlby, Ben Feldman, Adam Goldberg, Analeigh Tipton, Scott Haze, Peter Bogdanovich, Lesley Ann Warren"
Monster Trucks,Paramount Pictures / Paramount Animation / Nickelodeon Movies,"Chris Wedge (director); Derek Connolly (screenplay); Lucas Till, Jane Levy, Amy Ryan, Holt McCallany, Rob Lowe, Danny Glover, Barry Pepper"
The Bye Bye Man,STX Entertainment / Intrepid Pictures,"Stacy Title (director); Jonathan Penner (screenplay); Douglas Smith, Doug Jones, Michael Trucco, Cressida Bonas, Lucien Laviscount, Carrie-Anne Moss, Faye Dunaway"
Sleepless,Open Road Films / FilmNation Entertainment,"Baran bo Odar (director); Andrea Berloff (screenplay); Jamie Foxx, Dermot Mulroney, Tip ""T.I."" Harris, Gabrielle Union, David Harbour, Michelle Monaghan, Scoot McNairy"
100 Streets,Samuel Goldwyn Films,"Jim O'Hanlon (director); Leon F. Butler (screenplay); Idris Elba, Gemma Arterton, Charlie Creed-Miles, Franz Drameh, Kierston Wareing, Tom Cullen, Ken Stott"
The Book of Love,Electric Entertainment,"Bill Purple (director/screenplay); Robbie Pickering (screenplay); Jason Sudeikis, Jessica Biel, Maisie Williams, Mary Steenburgen, Orlando Jones, Paul Reiser"
Split,Universal Pictures / Blumhouse Productions,"M. Night Shyamalan (director/screenplay); James McAvoy, Anya Taylor-Joy, Betty Buckley"
XXX: Return of Xander Cage,Paramount Pictures / Revolution Studios / One Race Films / Roth/Kirschenbaum Films,"D. J. Caruso (director); F. Scott Frazier (screenplay); Vin Diesel, Samuel L. Jackson, Donnie Yen, Deepika Padukone, Kris Wu, Nina Dobrev, Tony Jaa, Ruby Rose, Toni Collette"
The Resurrection of Gavin Stone,BH Tilt / WWE Studios / Walden Media,"Dallas Jenkins (director); Andrea Gyertson Nasfell (screenplay); Brett Dalton, Anjelah Johnson, Neil Flynn, Shawn Michaels, D. B. Sweeney"
Trespass Against Us,A24,"Adam Smith (director); Alastair Siddons (screenplay); Michael Fassbender, Brendan Gleeson, Lyndsey Marshal, Killian Scott, Rory Kinnear, Sean Harris"
Sophie and the Rising Sun,Monterey Media,"Maggie Greenwald (director/screenplay); Julianne Nicholson, Margo Martindale, Lorraine Toussaint, Takashi Yamaguchi, Diane Ladd, Karen Wheeling Reynolds"
A Dog's Purpose,Universal Pictures / Amblin Entertainment / Reliance Entertainment / Walden Media,"Lasse Hallström (director); W. Bruce Cameron, Cathryn Michon, Audrey Wells, Maya Forbes, Wally Wolodarsky (screenplay); Britt Robertson, Dennis Quaid, Josh Gad, KJ Apa, John Ortiz"
Resident Evil: The Final Chapter,Screen Gems / Impact Pictures / Davis Films / Constantin Film,"Paul W. S. Anderson (director/screenplay); Milla Jovovich, Ali Larter, Shawn Roberts, Ruby Rose, Eoin Macken, Lee Joon-gi, William Levy, Iain Glen, Fraser James, Rola"
Lost in Florence,Orion Pictures,"Evan Oppenheimer (director/screenplay); Brett Dalton, Stana Katic, Alessandra Mastronardi, Alessandro Preziosi, Emily Atack, Rob Aramayo, Marco Bonini"
I Am Michael,Brainstorm Media,"Justin Kelly (director/screenplay); Stacey Miller (screenplay); James Franco, Zachary Quinto, Emma Roberts, Charlie Carver"
iBoy,Netflix,"Adam Randall (director), Joe Barton, Mark Denton, Jonny Stockwood (screenplay); Bill Milner, Maisie Williams, Miranda Richardson, Rory Kinnear"
Rings,Paramount Pictures,"F. Javier Gutiérrez (director); David Loucka, Jacob Estes (screenplay); Matilda Lutz, Alex Roe, Johnny Galecki, Aimee Teegarden, Bonnie Morgan, Vincent D'Onofrio"
The Space Between Us,STX Entertainment / Huayi Brothers Media,"Peter Chelsom (director); Allan Loeb (screenplay); Asa Butterfield, Britt Robertson, Gary Oldman, Carla Gugino"
Youth in Oregon,Orion Pictures / Samuel Goldwyn Films,"Joel David Moore (director); Andrew Eisen (screenplay); Frank Langella, Billy Crudup, Christina Applegate, Nicola Peltz, Josh Lucas, Mary Kay Place"
I Am Not Your Negro,Magnolia Pictures / Amazon Studios,Raoul Peck (director/screenplay); Samuel L. Jackson
Growing Up Smith,Good Deed Entertainment,"Frank Lotito (director); Jason Lee, Anjul Nigam, Brighton Sharbino, Hilarie Burton, Roni Akurati"
The Lego Batman Movie,Warner Bros. Pictures / Warner Animation Group / DC Entertainment / RatPac-Dune Entertainment / Vertigo Entertainment / Lin Pictures / Lord Miller Productions,"Chris McKay (director); Seth Grahame-Smith, Jared Stern (screenplay); Will Arnett, Zach Galifianakis, Michael Cera, Rosario Dawson, Ralph Fiennes"
Fifty Shades Darker,Universal Pictures / Perfect World Pictures,"James Foley (director); Niall Leonard (screenplay); Dakota Johnson, Jamie Dornan, Kim Basinger, Luke Grimes, Eloise Mumford, Max Martini, Eric Johnson, Bella Heathcote, Marcia Gay Harden, Rita Ora"
John Wick: Chapter 2,Summit Entertainment / Thunder Road Pictures / 87Eleven Productions,"Chad Stahelski (director); Derek Kolstad (screenplay); Keanu Reeves, Common, Bridget Moynahan, Ian McShane, John Leguizamo, Ruby Rose, Laurence Fishburne"
Bornless Ones,Uncork'd Entertainment,"Alexander Babaev (director/screenplay); Michael Johnston, Margaret Judson, Bobby T, Lana Titova, Victoria Clare, Devin Goodsell, Gwen Holloway, Mark Furze, Greg Travis, Nick Saso, Rob Tepper, David Banks"
The Great Wall,Universal Pictures / Legendary Pictures / Atlas Entertainment,"Zhang Yimou (director); Tony Gilroy, Chris Brancato, Doug Miro (screenplay); Matt Damon, Jing Tian, Pedro Pascal, Willem Dafoe, Lu Han, Andy Lau"
A Cure for Wellness,20th Century Fox / Regency Enterprises / Blind Wink Productions,"Gore Verbinski (director); Justin Haythe (screenplay); Dane DeHaan, Mia Goth, Jason Isaacs"
Fist Fight,Warner Bros. Pictures / New Line Cinema / Village Roadshow Pictures / RatPac Entertainment / 21 Laps Entertainment,"Richie Keen (director); Van Robichaux, Evan Susser (screenplay); Ice Cube, Charlie Day, Christina Hendricks, Dennis Haysbert, Tracy Morgan, Jillian Bell, Dean Norris"
American Fable,IFC Films,"Anne Hamilton (director/screenplay); Peyton Kennedy, Richard Schiff, Kip Pardue, Marci Miller, Gavin MacIntosh, Zuleikha Robinson"
XX,Magnet Releasing,"Jovanka Vuckovic, Annie Clark, Roxanne Benjamin, Karyn Kusama (directors); Natalie Brown, Melanie Lynskey, Breeda Wool, Christina Kirk"
Lovesong,Strand Releasing,"So Yong Kim (director); Jena Malone, Riley Keough, Brooklyn Decker, Amy Seimetz, Marshall Chapman, Ryan Eggold, Rosanna Arquette"
