Film,Production,Cast
The Rite,Warner Bros. Pictures / New Line Cinema,"Mikael Håfström (director); Michael Petroni (screenplay); Anthony Hopkins, Colin O'Donoghue, Alice Braga, Rutger Hauer, Ciarán Hinds, Toby Jones, Marta Gastini, Maria Grazia Cucinotta, Chris Marquette, Torrey DeVitto, Marija Karan, Cecilia Dazzi"
Cold Weather,IFC Films,"Aaron Katz (director); Cris Lankenau, Trieste Kelly Dunn, Raúl Castillo, Robyn Rikoon"
The Other Woman,Incentive Filmed Entertainment,"Don Roos (director/screenplay); Natalie Portman, Lisa Kudrow, Lauren Ambrose, Scott Cohen"
The Roommate,Screen Gems,"Christian E. Christiansen (director); Sonny Mallhi (screenplay); Leighton Meester, Minka Kelly, Cam Gigandet, Aly Michalka, Danneel Harris, Frances Fisher, Billy Zane, Matt Lanter, Nina Dobrev, Kat Graham, Tomas Arana, Alex Meraz, Nathan Parsons"
Sanctum,Universal Pictures / Relativity Media / Wayfare Entertainment / FilmNation Entertainment,"Alister Grierson (director); Andrew Wight, John Garvin (screenplay); Richard Roxburgh, Rhys Wakefield, Ioan Gruffudd, Alice Parkinson, Dan Wyllie, Christopher James Baker, Allison Cratchley, Andrew Hansen"
Waiting for Forever,Freestyle Releasing,"James Keach (director); Rachel Bilson, Tom Sturridge, Jamie King, Nikki Blonsky, Scott Mechlowicz, Blythe Danner, Roz Ryan, Richard Jenkins"
Carancho,Buena Vista International,"Pablo Trapero (director); Ricardo Darín, Martina Gusmán"
Carbon Nation,Earth School Education Foundation,"Peter Byck (director); R. James Woolsey, Richard Branson, Denis Hayes, Van Jones, Lester R. Brown, Ralph Cavanagh, Box Fox, Thomas Friedman, Eban Goodstein, Gary Hirshberg, Sadhu Aufochs Johnston, Amory B. Lovins, Joel Makower, Edward Mazria, Arthur H. Rosenfeld"
Cedar Rapids,Fox Searchlight Pictures,"Miguel Arteta (director); Phil Johnston (screenplay); Ed Helms, John C. Reilly, Anne Heche, Sigourney Weaver, Stephen Root, Kurtwood Smith, Alia Shawkat, Mike O'Malley, Rob Corddry, Seth Morris, Isiah Whitlock Jr., Thomas Lennon, Inga R. Wilson, Mike Birbiglia"
The Eagle,Focus Features / Film4 Productions,"Kevin MacDonald (director); Jeremy Brock (screenplay); Channing Tatum, Jamie Bell, Donald Sutherland, Mark Strong, Tahar Rahim, Denis O'Hare, Douglas Henshall, Paul Ritter, Dakin Matthews, Pip Carter, Ned Dennehy"
Gnomeo & Juliet,Touchstone Pictures / Rocket Pictures,"Kelly Asbury (director); Rob Sprackling, John R. Smith, Kevin Cecil, Andy Riley, Mark Burton (screenplay); James McAvoy, Emily Blunt, Julie Walters, Richard Wilson, Jason Statham, Ashley Jensen, Maggie Smith, Michael Caine, Patrick Stewart, Matt Lucas, Stephen Merchant, Jim Cummings, Ozzy Osbourne, Dolly Parton, Hulk Hogan, Kelly Asbury, James Daniel Wilson, Tim Bentinck"
Just Go with It,Columbia Pictures / Happy Madison Productions,"Dennis Dugan (director); Allan Loeb, Tim Dowling (screenplay); Adam Sandler, Jennifer Aniston, Nicole Kidman, Brooklyn Decker, Nick Swardson, Bailee Madison, Dave Matthews, Griffin Gluck, Rachel Dratch, Kevin Nealon, Heidi Montag, Minka Kelly, Jackie Sandler, Dan Patrick, Jonathan Loughran, Peter Dante, Carol Ann Susi, Mario Joyner, Keegan-Michael Key, Allen Covert, Andy Roddick, Lori Heuring, Branscombe Richmond, Jake Shimabukuro"
Justin Bieber: Never Say Never,Paramount Pictures / Insurge Pictures / MTV Films,"Jon Chu (director); Justin Bieber, Miley Cyrus, Jaden Smith, Scooter Braun, Boyz II Men, Sean Kingston, Chris 'Ludacris' Bridges, Usher Raymond, Pattie Mallette, Snoop Dogg, L.A. Reid, Jay Leno, Chelsea Handler, George Lopez, Ryan Good, Jeremy Bieber, Diane Dale, Bruce Dale, Martin Butler, Ryan Butler, Nathan McKay, Allison Kaye, Carin Morris"
Mooz-lum,Codeblack Films,"Qasim ""Q"" Basir (director); Danny Glover, Nia Long, Evan Ross, Roger Guenveur Smith"
12,The Sunset Limited,HBO Films
"Big Mommas: Like Father, Like Son",20th Century Fox / Regency Enterprises,"John Whitesell (director); Matthew Fogel, Randi Mayem Singer (screenplay); Martin Lawrence, Brandon T. Jackson, Jessica Lucas, Faizon Love, Portia Doubleday, Michelle Ang, Tony Curran, Emily Rios, Ken Jeong, Ana Ortiz, Max Casella"
I Am Number Four,Touchstone Pictures / DreamWorks Pictures / Reliance BIG Entertainment,"D. J. Caruso (director); Alfred Gough, Miles Millar (screenplay); Alex Pettyfer, Timothy Olyphant, Dianna Agron, Teresa Palmer, Kevin Durand, Jake Abel, Callan McAuliffe, Judith Hoag, Beau Mirchoff, Emily Wickersham, Brian Howe, Reuben Langdon, Ken Beck, Tucker Albrizzi, Garrett M. Brown, Megan Follows, Cody Johns"
Unknown,Warner Bros. Pictures / Dark Castle Entertainment / Babelsberg Studio,"Jaume Collet-Serra (director); Oliver Butcher, Stephen Cornwell, Karl Gajdusek (screenplay); Liam Neeson, Diane Kruger, January Jones, Frank Langella, Aidan Quinn, Bruno Ganz, Sebastian Koch, Stipe Erceg, Rainer Bock, Mido Hamada, Karl Markovics, Eva Löbau, Adnan Maral, Petra Schmidt-Schaller, Olivier Schneider, Clint Dyer"
Drive Angry,Summit Entertainment / Millennium Films,"Patrick Lussier (director/screenplay); Todd Farmer (screenplay); Nicolas Cage, Amber Heard, David Morse, William Fichtner, Billy Burke, Katy Mixon, Charlotte Ross, Christa Campbell, Pruitt Taylor Vince, Todd Farmer, Tom Atkins, Jack McGee"
Hall Pass,Warner Bros. Pictures / New Line Cinema,"Bobby Farrelly, Peter Farrelly (directors/screenplay); Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate, Alyssa Milano, Joy Behar, Stephen Merchant, J.B. Smoove, Richard Jenkins, Alexandra Daddario, Nicky Whelan, Bruce Thomas, Derek Waters, Tyler Hoechlin, Larry Joe Campbell, Rob Moran, Lauren Bowles, Dwight Evans, Bo Burnham, Vanessa Angel, Kathy Griffin"
The Adjustment Bureau,Universal Pictures / Media Rights Capital,"George Nolfi (director/screenplay); Matt Damon, Emily Blunt, Anthony Mackie, Terence Stamp, John Slattery, Shohreh Aghdashloo, Michael Kelly, Anthony Ruivivar, Donnie Keshawarz, Amanda Warren, Jennifer Ehle, Pedro Pascal, Brian Haley, Shane McRae, David Alan Basche, Chuck Scarborough, Jon Stewart, Michael Bloomberg, James Carville, Mary Matalin, Betty Liu"
Beastly,CBS Films,"Daniel Barnz (director/screenplay); Alex Pettyfer, Vanessa Hudgens, Mary-Kate Olsen, Neil Patrick Harris, Peter Krause, LisaGay Hamilton, Dakota Johnson, Erik Knudsen, Regina King"
Rango,Paramount Pictures / Blind Wink Productions / Nickelodeon Movies / GK Films,"Gore Verbinski (director); John Logan (screenplay); Johnny Depp, Isla Fisher, Abigail Breslin, Ned Beatty, Alfred Molina, Bill Nighy, Stephen Root, Harry Dean Stanton, Ray Winstone, Timothy Olyphant, Maile Flanagan, Alanna Ubach, Ian Abercrombie, Gil Birmingham, James Ward Byrkit, Claudia Black, Blake Clark, Patrika Darbo, George DelHoyo, Charles Fleischer, Beth Grant, Ryan Hurst, Vincent Kartheiser, Joseph Nunez, Chris Parson, Lew Temple, Gore Verbinski, Kym Whitley, John Cothran, Jr., Alex Manugian"
Take Me Home Tonight,Relativity Media / Rogue Pictures / Imagine Entertainment,"Michael Dowse (director); Jackie Filgo, Jeff Filgo (screenplay); Topher Grace, Anna Faris, Dan Fogler, Teresa Palmer, Michael Biehn, Michelle Trachtenberg, Chris Pratt, Lucy Punch, Demetri Martin, Michael Ian Black, Seth Gabel, Nathalie Kelley, Candace Kroslak, Ryan Bittle, Robert Hoffman, Edwin Hodge, Bob Odenkirk, Angie Everhart, Clement von Franckenstein, Ginnifer Goodwin"
Battle: Los Angeles,Columbia Pictures / Relativity Media / Original Film,"Jonathan Liebesman (director); Christopher Bertolini (screenplay); Aaron Eckhart, Michelle Rodriguez, Michael Peña, Bridget Moynahan, Ne-Yo, Ramon Rodríguez, Cory Hardrict, Jim Parrack, Gino Anthony Pesi, Lucas Till, Noel Fisher, Adetokumboh M'Cormack, Will Rothhaar, Neil Brown Jr., Taylor Handley, James Hiroyuki Liao, Joey King"
Jane Eyre,Focus Features / BBC Films,"Cary Fukunaga (director); Moira Buffini (screenplay); Mia Wasikowska, Michael Fassbender, Jamie Bell, Judi Dench, Imogen Poots, Sally Hawkins, Simon McBurney, Holliday Grainger, Tamzin Merchant, Sophie Ward, Su Elliot, Jayne Wisener, Harry Lloyd, Valentina Cervi, Craig Roberts, Ben Roberts"
Mars Needs Moms,Walt Disney Pictures / ImageMovers Digital,"Simon Wells (director/screenplay); Wendy Wells (screenplay); Seth Green, Dan Fogler, Elisabeth Harnois, Mindy Sterling, Joan Cusack, Kevin Cahoon, Tom Everett Scott, Raymond Ochoa, Ryan Ochoa, Edi Patterson, Dee Bradley Baker, Seth Dusky, Robert Ochoa, Matthew Henerson, Adam Jennings, Stephen Kearin, Amber Gainey Meade, Aaron Rapke, Julene Renee, Kirsten Severson, Matthew Wolf"
Red Riding Hood,Warner Bros. Pictures,"Catherine Hardwicke (director); David Leslie Johnson (screenplay); Amanda Seyfried, Gary Oldman, Shiloh Fernandez, Max Irons, Billy Burke, Julie Christie, Virginia Madsen, Lukas Haas, Michael Shanks, Christine Willes, Adrian Holmes, Michael Hogan, Alexandria Maillot, Kacey Rohl, Megan Charpentier"
Limitless,Relativity Media / Rogue Pictures / Virgin Produced,"Neil Burger (director); Leslie Dixon (screenplay); Bradley Cooper, Robert De Niro, Abbie Cornish, Anna Friel, Johnny Whitworth, Richard Bekins, Robert John Burke, Tomas Arana, T.V. Carpio, Patricia Kalember, Andrew Howard, Ned Eisenberg"
The Lincoln Lawyer,Lionsgate / Lakeshore Entertainment / Sidney Kimmel Entertainment,"Brad Furman (director); John Romano (screenplay); Matthew McConaughey, Ryan Phillippe, Marisa Tomei, Josh Lucas, John Leguizamo, Michael Peña, Bryan Cranston, Frances Fisher, William H. Macy, Trace Adkins, Bob Gunton, Laurence Mason, Margarita Levieva, Pell James, Shea Whigham, Katherine Moennig, Michael Paré, Michaela Conlin, Mackenzie Aladjem"
Paul,Universal Pictures / Relativity Media / Working Title Films,"Greg Mottola (director); Nick Frost, Simon Pegg (screenplay); Nick Frost, Simon Pegg, Seth Rogen, Bill Hader, Kristen Wiig, Jason Bateman, Sigourney Weaver, Jane Lynch, John Carroll Lynch, Joe Lo Truglio, David Koechner, Blythe Danner, Jesse Plemons, Jeffrey Tambor, Bobby Lee, Steven Spielberg"
Win Win,Fox Searchlight Pictures / Everest Entertainment,"Tom McCarthy (director/screenplay); Paul Giamatti, Amy Ryan, Bobby Cannavale, Melanie Lynskey, Burt Young, Jeffrey Tambor, Alex Shaffer, Margo Martindale, David W. Thompson, Nina Arianda, Marcia Haufrecht, Sharon Wilkins, Clare Foley, Mike Diliello, Tim Ransom"
Diary of a Wimpy Kid: Rodrick Rules,20th Century Fox,"David Bowers (director); Jeff Filgo, Jackie Filgo, Jeff Judah, Gabe Sachs (screenplay); Zachary Gordon, Robert Capron, Rachael Harris, Devon Bostick, Peyton List, Steve Zahn, Fran Kranz, Grayson Russell, Karan Brar, Laine MacNeil, Terence Kelly, Belita Moreno, Andrew McNee, Alfred E. Humphreys, Serge Houde, Teryl Rothery, Melissa Roxburgh, Dalila Bela, Jeff Kinney, Billie Eilish"
Sucker Punch,Warner Bros. Pictures / Legendary Pictures / Cruel and Unusual Films,"Zack Snyder (director/screenplay); Steve Shibuya (screenplay); Emily Browning, Abbie Cornish, Jamie Chung, Jena Malone, Vanessa Hudgens, Carla Gugino, Scott Glenn, Jon Hamm, Oscar Isaac, Patrick Sabongui"
Insidious,FilmDistrict / Haunted Movies / Stage 6 Films / Alliance Films / IM Global,"James Wan (director); Leigh Whannell (screenplay); Patrick Wilson, Rose Byrne, Barbara Hershey, Lin Shaye, Ty Simpkins, Leigh Whannell, Angus Sampson, Joseph Bishara, J. LaRose, Ben Woolf"
Hop,Universal Pictures / Relativity Media / Illumination Entertainment,"Tim Hill (director); Cinco Paul, Ken Daurio, Brian Lynch (screenplay); Russell Brand, James Marsden, Kaley Cuoco, Elizabeth Perkins, Hank Azaria, Gary Cole, David Hasselhoff, Chelsea Handler, Hugh Laurie, Tiffany Espensen, Dustin Ybarra, Hugh Hefner, Django Marsh"
Source Code,Summit Entertainment / Vendôme Pictures,"Duncan Jones (director); Ben Ripley (screenplay); Jake Gyllenhaal, Michelle Monaghan, Vera Farmiga, Jeffrey Wright, Michael Arden, Russell Peters, Scott Bakula, Frédérick De Grandpré, Cas Anvar"
Super,IFC Midnight Films / This Is That Productions / HanWay Films / Ambush Entertainment,"James Gunn (director/screenplay); Rainn Wilson, Elliot Page, Liv Tyler, Kevin Bacon, Nathan Fillion, Gregg Henry, Michael Rooker, Andre Royo, Sean Gunn, Stephen Blackehart, Linda Cardellini, William Katt, Rob Zombie, Zach Gilford, Steve Agee, Mollie Milligan, James Gunn"
Trust,Millennium Films / Nu Image,"David Schwimmer (director); Andy Bellin, Robert Festinger (screenplay); Clive Owen, Catherine Keener, Jason Clarke, Liana Liberato, Viola Davis, Chris Henry Coffey, Noah Emmerich, Zoe Levin, Spencer Curnutt, Aislinn Debutch"
Wrecked,IFC Midnight Films,"Michael Greenspan (director); Chris Dodd (screenplay); Adrien Brody, Caroline Dhavernas, Ryan Robbins, Adrian Holmes, Jacob Blair"
Arthur,Warner Bros. Pictures,"Jason Winer (director); Peter Baynham (screenplay); Russell Brand, Helen Mirren, Jennifer Garner, Luis Guzmán, Greta Gerwig, Nick Nolte, Geraldine James, Evander Holyfield, Murphy Guyer, Jennie Eisenhower, Christina Calph, John Hodgman, Nigel Barker, Scott Adsit"
Hanna,Focus Features,"Joe Wright (director); Seth Lochhead, David Farr (screenplay); Saoirse Ronan, Cate Blanchett, Eric Bana, Jason Flemyng, Olivia Williams, Tom Hollander, Vicky Krieps, John Macmillan, Michelle Dockery, Jessica Barden, Joel Basman, Álvaro Cervantes, Martin Wuttke"
Henry's Crime,Moving Pictures Film and Television / Maitland Primrose Group,"Malcolm Venville (director); Sacha Gervasi, David N. White (screenplay); Keanu Reeves, Vera Farmiga, James Caan, Judy Greer, Fisher Stevens, Peter Stormare, Bill Duke, Danny Hoch, Currie Graham, David Costabile"
Soul Surfer,TriStar Pictures / FilmDistrict / Mandalay Vision,"Sean McNamara (director/screenplay); Michael Berk, Douglas Schwartz (screenplay); Dennis Quaid, AnnaSophia Robb, Helen Hunt, Carrie Underwood, Kevin Sorbo, Ross Thomas, Chris Brochu, Lorraine Nicholson, Jeremy Sumpter, Sonia Balmores Chung, Craig T. Nelson, Branscombe Richmond, Bethany Hamilton, Alana Blanchard, Sean McNamara, Tatiana Weston-Webb"
Your Highness,Universal Pictures,"David Gordon Green (director); Danny McBride, Ben Best (screenplay); Danny McBride, James Franco, Natalie Portman, Zooey Deschanel, Justin Theroux, Toby Jones, Damian Lewis, Rasmus Hardiker, Caroline Grace-Cassidy, Simon Farnaby, Deobia Oparei, Charles Dance, John Fricker, Angela Pleasence, Charles Shaughnessy, Rhian Sugden, Amii Grove, Madison Welch"
Atlas Shrugged: Part I,Rocky Mountain Pictures,"Paul Johansson (director); Brian Patrick O'Toole (screenplay); Taylor Schilling, Grant Bowler, Matthew Marsden, Graham Beckel, Edi Gathegi, Jsu Garcia, Michael Lerner, Jack Milo, Ethan Cohn, Rebecca Wisocky, Christina Pickles, Neill Barry, Patrick Fischler, Sylva Kelegian, Jon Polito, Michael O'Keefe, Geoff Pierson, Armin Shimerman, Paul Johansson"
The Conspirator,"Lionsgate / Roadside Attractions / American Film Company / Wildwood Enterprises, Inc","Robert Redford (director); James D. Solomon (screenplay); James McAvoy, Robin Wright, Kevin Kline, Evan Rachel Wood, Danny Huston, Justin Long, Colm Meaney, Tom Wilkinson, Alexis Bledel, Stephen Root, Jonathan Groff, Johnny Simmons, Toby Kebbell, Norman Reedus, John Cullum, Shea Whigham, James Badge Dale, Jim True-Frost, Chris Bauer, David Andrews, Brian F. Durkin, Cullen Moss, Jason Hatfield, Amy Tipton, Cal Johnson"
Rio,20th Century Fox Animation / Blue Sky Studios,"Carlos Saldanha (director); Don Rhymer, Joshua Sternin, Jeffrey Ventimilia, Sam Harper (screenplay); Jesse Eisenberg, Anne Hathaway, will.i.am, Jamie Foxx, George Lopez, Tracy Morgan, Jemaine Clement, Rodrigo Santoro, Leslie Mann, Jake T. Austin, Jane Lynch, Wanda Sykes, Carlos Ponce, Jeff Garcia, Bebel Gilberto, Tom Wilson, Judah Friedlander, Phil Miler, Carlos Saldanha, Sergio Mendes, Gracinha Leporace, Ester Dean, Karen Disher, Carlinhos Brown, Jean Gilpin, Nicholas Guest, Rif Hutton, Sergio Kato, Davi Vieira, Bernando de Paula, Francisco Ramos"
Scream 4,Dimension Films,"Wes Craven (director); Kevin Williamson (screenplay); Neve Campbell, Courteney Cox, David Arquette, Emma Roberts, Hayden Panettiere, Anthony Anderson, Adam Brody, Rory Culkin, Mary McDonnell, Marley Shelton, Alison Brie, Marielle Jaffe, Nico Tortorella, Erik Knudsen, Anna Paquin, Kristen Bell, Lucy Hale, Shenae Grimes, Britt Robertson, Aimee Teegarden, Roger L. Jackson"
African Cats,Disneynature,"Alastair Fothergill, Keith Scholey (directors); Samuel L. Jackson"
Madea's Big Happy Family,Lionsgate / Tyler Perry Studios,"Tyler Perry (director/screenplay); Tyler Perry, Loretta Devine, Bow Wow, Lauren London, Isaiah Mustafa, Tamela Mann, Cassi Davis, Shannon Kane, Natalie Desselle-Reid, Rodney Perry, David Mann, Teyana Taylor, Philip Anthony-Rodriguez, Chandra Currelley, Maury Povich"
POM Wonderful Presents: The Greatest Movie Ever Sold,Sony Pictures Classics,"Morgan Spurlock (director/screenplay) Jeremy Chilnick (screenplay); Morgan Spurlock, Ben Silverman, Noam Chomsky, OK Go, Ralph Nader"
Water for Elephants,20th Century Fox,"Francis Lawrence (director); Richard LaGravenese (screenplay); Robert Pattinson, Reese Witherspoon, Christoph Waltz, Hal Holbrook, Ken Foree, James Frain, Paul Schneider, Tim Guinee, Mark Povinelli, Scott MacDonald, Jim Norton, Richard Brake, Sam Anderson, John Aylward, Brad Greenquist, Tai, Uggie"
Cinema Verite,HBO Films,"Shari Springer Berman, Robert Pulcini (directors); David Seltzer (screenplay); Diane Lane, Tim Robbins, James Gandolfini, Kathleen Quinlan, Thomas Dekker, Patrick Fugit, Shanna Collins, Willam Belli, Lolita Davidovich, Kyle Riabko, Kaitlyn Dever, Nick Eversman, Johnny Simmons, Caitlin Custer, Jake Richardson, Matt O'Leary, Stephen Caffrey, Richard Fancy, Don McManus, Robert Curtis Brown, Dawn Hudson, Molly Hagan, Sean O'Bryan, Michelle Morgan, Emilio Rivera, Johnny Carson, Dick Cavett, Bill Loud, Lance Loud, James Urbaniak"
Dylan Dog: Dead of Night,Freestyle Releasing,"Kevin Munroe (director); Joshua Oppenheimer, Thomas Dean Donnelly (screenplay); Brandon Routh, Taye Diggs, Sam Huntington, Anita Briem, Kurt Angle, Peter Stormare, Laura Spencer, Marco St. John"
Fast Five,Universal Pictures / Original Film,"Justin Lin (director); Chris Morgan (screenplay); Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson, Chris ""Ludacris"" Bridges, Matt Schulze, Sung Kang, Dwayne Johnson, Joaquim de Almeida, Gal Gadot, Elsa Pataky, Tego Calderón, Don Omar, Michael Irby, Fernando F. Chien, Alimi Ballard, Yorgo Constantine, Kent Shocknek, Sharon Tay, Eva Mendes, Michelle Rodriguez, Johnny Strong, Hélène Cardona"
Hoodwinked Too! Hood vs. Evil,The Weinstein Company / Kanbar Entertainment,"Mike Disa (director/screenplay); Cory Edwards, Todd Edwards, Tony Leech (screenplay); Glenn Close, Cheech Marin, Tommy Chong, Hayden Panettiere, Amy Poehler, Martin Short, Patrick Warburton, Joan Cusack, David Ogden Stiers, Bill Hader, Cory Edwards, Brad Garrett, Andy Dick, David Alan Grier, Phil LaMarr, Wayne Newton, Danny Pudi, Debra Wilson Skelton, Tress MacNeille, Heidi Klum, Mike Disa, Rob Paulsen, Ian James Corlett, Brian T. Delaney, Nicholas Guest, Kyle Hebert, Bridget Hoffman, Wendee Lee, Stephanie Sheh, Keith Silverstein, Benjy Gaither, Clarissa Jacobson, Lance Holt, Rebecca Andersen"
Prom,Walt Disney Pictures,"Joe Nussbaum (director); Katie Wech (screenplay); Aimee Teegarden, Thomas McDonell, Cameron Monaghan, Nolan Sotillo, Danielle Campbell, Kylie Bunbury, DeVaughn Nixon, Jared Kusnitz, Nicholas Braun, Joe Adler, Jonathan Keltz, Christine Elise McCarthy, Raini Rodriguez, Dean Norris, Faith Ford, Robbie Tucker, Jere Burns, Allie Trimm, Amy Pietz, Blair Fowler, Riley Voelkel, Kofi Siriboe, Yin Chang, Janelle Ortiz, Afam Okeke, Aimee-Lynn Chadwick, Carlease Burke, Madison Riley, Rocco Nugent, Ivy Malone, Chloe Little, Kristopher Higgins"
The Beaver,Summit Entertainment / Anonymous Content / Participant Media / Imagenation Abu Dhabi,"Jodie Foster (director); Kyle Killen (screenplay); Mel Gibson, Jodie Foster, Anton Yelchin, Jennifer Lawrence, Riley Thomas Stewart"
Hobo with a Shotgun,Rhombus Media / Whizbang Films / Yer Dead Productions,"Jason Eisener (director); John Davies (screenplay); Rutger Hauer, Gregory Smith, Brian Downey"
Jumping the Broom,TriStar Pictures / Stage 6 Films,"Salim Akil (director); Arlene Gibbs, Elizabeth Hunter (screenplay); Angela Bassett, Paula Patton, Laz Alonso, Loretta Devine, Mike Epps, Meagan Good, Tasha Smith, Julie Bowen, DeRay Davis, Valarie Pettiford, Pooch Hall, Romeo Miller, Brian Stokes Mitchell, Gary Dourdan, T.D. Jakes, Tenika Davis, Vera Cudjoe, El DeBarge"
Something Borrowed,Warner Bros. Pictures / Alcon Entertainment,"Luke Greenfield (director); Jennie Snyder Urman (screenplay); Ginnifer Goodwin, Kate Hudson, John Krasinski, Colin Egglesfield, Steve Howey, Ashley Williams, Geoff Pierson, Jill Eikenberry"
Thor,Paramount Pictures / Marvel Studios,"Kenneth Branagh (director); Mark Protosevich, Zack Stentz, Ashley Edward Miller, Don Payne (screenplay); Chris Hemsworth, Natalie Portman, Tom Hiddleston, Stellan Skarsgård, Colm Feore, Ray Stevenson, Idris Elba, Kat Dennings, Rene Russo, Anthony Hopkins, Tadanobu Asano, Josh Dallas, Jaimie Alexander, Adriana Barraza, Clark Gregg, Maximiliano Hernández, Joseph Gatt, Douglas Tait, Jamie McShane, Dale Godboldo, Patrick O'Brien Demsey, J. Michael Straczynski, Matt Battaglia, Stan Lee, Joel McCrary, Isaac Kappy, Samuel L. Jackson, Jeremy Renner, Walter Simonson"
Bridesmaids,Universal Pictures / Relativity Media,"Paul Feig (director); Annie Mumolo, Kristen Wiig (screenplay); Kristen Wiig, Maya Rudolph, Rose Byrne, Melissa McCarthy, Wendi McLendon-Covey, Ellie Kemper, Chris O'Dowd, Jill Clayburgh, Matt Lucas, Rebel Wilson, Michael Hitchcock, Tim Heidecker, Ben Falcone, Mitch Silpa, Terry Crews, Elaine Kao, Kali Hawk, Steve Bannos, Hugh Dane, Franklin Ajaye, Lynne Marie Stewart, Andy Buckley, Matt Bennett, Nancy Carell, Melanie Hutsell, Eloy Casados, Jessica St. Clair, Annie Mumolo, Mia Rose Frampton, Jordan Black, Jillian Bell, Richard Riehle, Jimmy Brogan, Wilson Phillips, Jon Hamm, Pat Carroll, Paul Feig"
Priest,Screen Gems,"Scott Stewart (director); Cory Goodman (screenplay); Paul Bettany, Cam Gigandet, Lily Collins, Karl Urban, Maggie Q, Stephen Moyer, Christopher Plummer, Brad Dourif, Mädchen Amick"
Departures,Arrow Films,Ali Yasin Akarçeşme (director)
Midnight in Paris,Sony Pictures Classics,"Woody Allen (director/screenplay); Owen Wilson, Rachel McAdams, Kathy Bates, Adrien Brody, Marion Cotillard, Michael Sheen, Carla Bruni, Tom Hiddleston, Alison Pill, Corey Stoll, Nina Arianda, Kurt Fuller, Mimi Kennedy, Léa Seydoux, Sonia Rolland, Daniel Lundh, Marcial Di Fonzo Bo, Gad Elmaleh, David Lowe, Olivier Rabourdin, Karine Vanasse, Michel Vuillermoz, Catherine Benguigui, Audrey Fleurot, Guillaume Gouix, Yves Heck, Thérèse Bourou-Rubinsztein, Emmanuelle Uzan, Tom Cordier, Adrien de Van, Serge Bagdassarian, Yves-Antonie Spoto, Vincent Menjou Cortes, François Rostain"
