Film,Production,Cast
"If I Want to Whistle, I Whistle",Film Movement,Florin Șerban (director); George Piştereanu
Phil Ochs: There but for Fortune,First Run Features,Kenneth Bowser (director)
Season of the Witch,Rogue Pictures / Relativity Media,"Dominic Sena (director); Bragi Schut (screenplay); Nicolas Cage, Ron Perlman, Stephen Campbell Moore, Claire Foy, Stephen Graham, Christopher Lee, Robert Sheehan, Ulrich Thomsen"
The Time That Remains,IFC Films,"Elia Suleiman (director); Elia Suleiman, Saleh Bakri, Leila Mouammar, Bilal Zidani, Samar Qudha Tanus"
Barney's Version,Sony Pictures Classics,"Richard J. Lewis (director); Michael Konyves (screenplay); Paul Giamatti, Rosamund Pike, Minnie Driver, Rachelle Lefevre, Scott Speedman, Dustin Hoffman, Anna Hopkins, Jake Hoffman, Bruce Greenwood, Mark Addy, Thomas Trabacchi, Clé Bennett, Saul Rubinek, Pauline Little, Harvey Atkin, Maury Chaykin, Macha Grenon, Kyle Switzer, Arthur Holden, Arthur Grosser, Harry Standjofski, Richard J. Lewis, Atom Egoyan, David Cronenberg, Paul Gross, Denys Arcand, Ted Kotcheff"
The Dilemma,Universal Pictures / Imagine Entertainment / Spyglass Entertainment,"Ron Howard (director); Allan Loeb (screenplay); Vince Vaughn, Kevin James, Winona Ryder, Jennifer Connelly, Channing Tatum, Queen Latifah, Amy Morton, Chelcie Ross, Eduardo N. Martinez, Clint Howard, Troy West, Rance Howard"
The Green Hornet,Columbia Pictures / Original Film,"Michel Gondry (director); Evan Goldberg, Seth Rogen (screenplay); Seth Rogen, Jay Chou, Cameron Diaz, Christoph Waltz, Edward James Olmos, David Harbour, Tom Wilkinson, Jamie Harris, Chad L. Coleman, Edward Furlong, Lio Tipton, Jill Remez, Reuben Langdon, Jerry Trimble, James Franco"
No Strings Attached,Paramount Pictures / The Montecito Picture Company / Spyglass Entertainment,"Ivan Reitman (director); Elizabeth Meriwether (screenplay); Ashton Kutcher, Natalie Portman, Cary Elwes, Kevin Kline, Greta Gerwig, Ophelia Lovibond, Ben Lawson, Chris 'Ludacris' Bridges, Olivia Thirlby, Jake M. Johnson, Lake Bell, Mindy Kaling, Talia Balsam, Adhir Kalyan, Guy Branum, Jennifer Irwin, Abby Elliott, Nasim Pedrad, Matthew Moy, Stefanie Scott, Ivan Reitman"
Open Season 3,Sony Pictures Home Entertainment / Sony Pictures Animation,"Cody Cameron (director); David I. Stern (screenplay); Matthew J. Munn, Maddie Taylor, Melissa Sturm, Karley Scott Collins, Ciara Bravo, Harrison Fahn, Dana Snyder, André Sogliuzzo, Cody Cameron, Danny Mann, Crispin Glover, Steve Schirripa, Fred Stoller, Sean Mullen, Diedrich Bader, Olivia Hack, John Cygan, Georgia Engel, Nika Futterman, Michelle Murdocca, Jeff Bennett"
The Mechanic,CBS Films,"Simon West (director); Richard Wenk, Lewis John Carlino (screenplay); Jason Statham, Ben Foster, Tony Goldwyn, Donald Sutherland, Mini Andén, Jeff Chase, Christa Campbell, John McConnell, Stuart Greer, Lance E. Nichols, J.D. Evermore, David Leitch, Lara Grice"
