Film,Production,Cast
Miramax Films / Immortal Entertainment,"Cheryl Dunye (director); Eddie Griffin, Damon 'Coke' Daniels, Brent Goldberg, David T. Wagner (screenplay); Eddie Griffin, Anthony Anderson, Michael Imperioli, Method Man, John Amos, Paula Jai Parker, Joanna Bacalso, Bai Ling, Marsha Thomason, Amy Sedaris, Bobb'e J. Thompson, Tommy ""Tiny"" Lister Jr., Randy Sklar, Jason Sklar, Denis Akiyama, Russell Peters, Kardinal Offishall, Scott Thompson, Daya Vaidya, Riele Downs, Panou, Genelle Williams",Comedy
TNT / Warner Bros. Television / Turner Entertainment Co. / Ron Ziskin Productions,"Richard Benjamin (director); Neil Simon (screenplay); Jeff Daniels, Patricia Heaton, Hallie Kate Eisenberg, Lynda Boyd, Alan Cumming, Richard Benjamin, Sharon Wilkins, Emily Holmes, Ron Halder, Ross Benjamin, Kevin Durand, Marco Soriano, Woody Jeffreys, Marie Stillin, Zag Margaret",Comedy
Buena Vista Television,"Mark A.Z. Dippé (director); Neal Shusterman (screenplay); Ricky Ullman, Leah Pipes, Spencer Redford, Tania Gunadi, Brett Cullen, Chris Williams, Porscha Coleman, Nate Stevens, Joyce Cohen, Anthony DiMaria, Max Robinson, Mike Peterson, Michael Patrick","Family, Sci-Fi, Comedy"
Walt Disney Pictures / DisneyToon Studios,"Timothy Björklund (director); Gary Baseman, Bill Steinkellner, Cheri Steinkellner (screenplay); Nathan Lane, Kelsey Grammer, Shaun Fleming, Debra Jo Rupp, David Ogden Stiers, Jerry Stiller, Paul Reubens, Megan Mullally, Rob Paulsen, Wallace Shawn, Estelle Harris, Jay Thomas, Rosalyn Landor, Genie Francis, Anthony Geary, Mae Whitman, Lauren Tom, Pamela S. Adlon, Timothy Stack, Ken Swofford, Kevin Michael Richardson","Comedy, Musical, Family"
Warner Bros. Pictures / Village Roadshow Pictures,"Joseph Kahn (director); Matt Johnson (screenplay); Martin Henderson, Ice Cube, Monet Mazur, Adam Scott, Matt Schulze, Jaime Pressly, Jay Hernandez, Will Yun Lee, Max Beesley, Christina Milian, Faizon Love, Fredro Starr, Justina Machado, Kinga Philipps, Eddie Steeples, Jerry Winsett, Dane Cook, Jesse James, Joseph Kahn, Scott Waugh, Monster Magnet",Action
DreamWorks Pictures,"Robert Luketic (director); Victor Levin (screenplay); Kate Bosworth, Josh Duhamel, Topher Grace, Gary Cole, Ginnifer Goodwin, Sean Hayes, Nathan Lane, Kathryn Hahn, Octavia Spencer, Amy Smart, Stephen Tobolowsky, Moon Bloodgood, Mary Jo Smith, Joseph Convery, Deena Dill, Bob Glouberman, Jay Underwood, Sam Pancake, Patrick O'Brien, Willow Bay, David Wolrod, Jessy Moss, Marshall Goodman, Danny Weissfeld, Caleb Speir, Jordana Brewster, Paris Hilton, Bonnie McKee","Romance, Comedy"
Paramount Pictures / MTV Films / Spyglass Entertainment,"Brian Robbins (director); Mark Schwahn, Marc Hyman, Jon Zack (screenplay); Erika Christensen, Chris Evans, Bryan Greenberg, Scarlett Johansson, Darius Miles, Leonardo Nam, Matthew Lillard, Fulvio Cecere, Vanessa Angel, Lorena Gale, Tyra Ferrell",Comedy
Screen Gems,"Chris Stokes (director/screenplay); Omarion Grandberry, Marques Houston, Jennifer Freeman, Jarell Houston, De'Mario Thornton, Dreux Frédéric, Michael Taliferro, Alani Vazquez, Meagan Good, Steve Harvey, Christopher Jones, Jerome Jones, Robert Hoffman, Malcolm David Kelley, Jackee Harry, Wade Robson, Lil' Kim, Simon Rugala, Kevin Federline, Columbus Short, Harry Shum Jr., Clifford McGhee, Dyneisha Rollins, Mike Bodden, Aaron Davis","Dance, Drama"
20th Century Fox / Fox 2000 Pictures,"Bart Freundlich (director); Michael Brandt, Derek Haas (screenplay); Kristen Stewart, Max Thieriot, Corbin Bleu, Jennifer Beals, Sam Robards, John Carroll Lynch, James LeGros, Michael Des Barres, Stark Sands, Christine Estabrook, Kevin G. Schmidt, Audrey Wasilewski","Action, Comedy, Family"
Walt Disney Pictures,"Gavin O'Connor (director); Eric Guggenheim (screenplay); Kurt Russell, Patricia Clarkson, Noah Emmerich, Sean McCann, Kenneth Welsh, Eddie Cahill, Patrick O'Brien Demsey, Michael Mantenuto, Nathan West, Kenneth Mitchell, Eric Peter-Kaiser, Bobby Hanson, Joseph Cure, Billy Schneider, Nate Miller, Chris Koch, Kris Wilson, Stephen Kovalcik, Sam Skoryna, Pete Duffy, Nick Postle, Casey Burnette, Scott Johnson, Trevor Alto, Robbie MacGregor, Joe Hemsworth, Zinaid Memišević, Adam Knight","Sports, Drama"
