Film,Production,Cast
20th Century Fox / Regency Enterprises / Marvel Enterprises,"Rob Bowman (director); Zak Penn, Stuart Zicherman, Raven Metzner (screenplay); Jennifer Garner, Goran Višnjić, Kirsten Prout, Will Yun Lee, Cary-Hiroyuki Tagawa, Terence Stamp, Colin Cunningham, Hiro Kanagawa, Natassia Malthe, Bob Sapp, Jason Isaacs, Kurt Max Runte, Chris Ackerman, Edison T. Ribeiro, Jana Mitsoula","Action, Superhero"
Buena Vista Television,"Duwayne Dunham (director); Bill Fritz (screenplay); Aly Michalka, Johnny Pacar, Frank Langella, Amanda Shaw, Gabriel Sunday, Spike Spencer, Dremaceo Giles, Patrick Hazell, Brendan Hill, Chris Olivero, Andrea Ragsdale, Deneen Tyler","Drama, Family, Fantasy"
Warner Bros. Pictures / Alcon Entertainment,"Frederik Du Chau (director); David Schmidt (screenplay); Bruce Greenwood, Hayden Panettiere, M. Emmet Walsh, Wendie Malick, Gary Bullock, Frankie Muniz, Mandy Moore, Dustin Hoffman, Whoopi Goldberg, Michael Clarke Duncan, Jeff Foxworthy, Joshua Jackson, Joe Pantoliano, Michael Rosenbaum, Steve Harvey, David Spade, Snoop Dogg, Fred Dalton Thompson, Jansen Panettiere, Phil Proctor, Mona Marshall, Chris Edgerly, Dee Bradley Baker, Jess Harnell, Robert Clotworthy, Nicholas Guest, Archie Hahn, Paul Pape, Eddie Frierson, Jason Harris, Anne Lockhart, Joshua Seth, Claudette Wells","Comedy, Sports, Family"
Warner Bros. Pictures,"Joel Schumacher (director/screenplay); Andrew Lloyd Webber (screenplay); Gerard Butler, Emmy Rossum, Patrick Wilson, Miranda Richardson, Minnie Driver, Simon Callow, Ciaran Hinds, Victor McGuire, Jennifer Ellison, Murray Melvin, Kevin McNally, James Fleet, Ramin Karimloo, Margaret Preece","Musical, Drama"
20th Century Fox,"John Polson (director); Ari Schlossberg (screenplay); Robert De Niro, Dakota Fanning, Famke Janssen, Elisabeth Shue, Amy Irving, Dylan Baker, Melissa Leo, Robert John Burke","Horror, Thriller"
Universal Pictures / Gold Circle Films,"Clare Kilner (director); Dana Fox (screenplay); Debra Messing, Dermot Mulroney, Amy Adams, Peter Egan, Holland Taylor, Jeremy Sheffield, Jack Davenport, Sarah Parish, Jolyon James, Linda Dobell, Jay Simon","Romance, Comedy"
Walt Disney Pictures,"Frank Nissen (director); Brian Hohlfeld, Evan Spiliotopoulos (screenplay); Jim Cummings, John Fiedler, Ken Sansom, Peter Cullen, Kath Soucie, Brenda Blethyn, Nikita Hopkins, Kyle Stanger",Family
Warner Bros. Pictures / Village Roadshow Pictures / Vertigo DC Comics / The Donners' Company,"Francis Lawrence (director); Kevin Brodbin, Frank Cappello (screenplay); Keanu Reeves, Rachel Weisz, Shia LaBeouf, Djimon Hounsou, Tilda Swinton, Pruitt Taylor Vince, Gavin Rossdale, Peter Stormare, Francis Guinan, José Zúñiga, Jesse Ramirez","Horror, Fantasy, Thriller"
New Line Cinema,"Lawrence Guterman (director); Lance Khazei (screenplay); Jamie Kennedy, Alan Cumming, Traylor Howard, Steven Wright, Kal Penn, Bob Hoskins, Ben Stein, Magda Szubanski, Sandy Winton, Rebecca Massey, Ryan Johnson, Victoria Thaine, Duncan Young, Peter Flett, Amanda Smyth, Ryan and Liam Falconer, Bear the Dog, Bill Farmer, Richard Steven Horvitz, Joyce Kurtz, Mona Marshall, Mary Matilyn Mouser, Neil Ross","Comedy, Family"
Lions Gate Films / The Tyler Perry Company,"Darren Grant (director); Tyler Perry (screenplay); Kimberly Elise, Steve Harris, Shemar Moore, Cicely Tyson, Tyler Perry, Lisa Marcos, Tamara Taylor, Tiffany Evans, Gary Anthony Sturgis, Tamela Mann, Chandra Currelley, Judge Mablean Ephriam, Whitney Houston, Bobby Brown, Wilbur Fitzgerald","Comedy, Drama"
