Film,Production,Cast
Insidious: The Last Key,Universal Pictures / Blumhouse Productions / Stage 6 Films,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Kirk Acevedo, Bruce Davison"
The Strange Ones,Vertical Entertainment,"Lauren Wolkstein (director); Christopher Radcliff (co-director/screenplay); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell"
Stratton,Momentum Pictures / GFM Films,"Simon West (director); Duncan Falconer, Warren Davis II (screenplay); Dominic Cooper, Austin Stowell, Gemma Chan, Thomas Kretschmann, Tyler Hoechlin, Tom Felton"
Sweet Country,Samuel Goldwyn Films,"Warwick Thornton (director); David Tranter, Steven McGregor (screenplay); Bryan Brown, Sam Neill"
The Commuter,Lionsgate / StudioCanal / The Picture Company,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Elizabeth McGovern, Sam Neill"
Proud Mary,Screen Gems,"Babak Najafi (director); John S. Newman, Christian Swegal (screenplay); Taraji P. Henson, Billy Brown, Danny Glover, Neal McDonough, Xander Berkeley, Margaret Avery"
Acts of Violence,Lionsgate Premiere,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Melissa Bolona, Mike Epps"
Freak Show,IFC Films,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, Bette Midler, AnnaSophia Robb, Ian Nelson, Lorraine Toussaint, Laverne Cox"
Humor Me,Shout! Factory / Shout! Studios,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia"
Vazante,Music Box Films,"Daniela Thomas (director/screenplay); Beto Amaral (screenplay); Adriano Carvalho, Luana Nastas"
Mary and the Witch's Flower,GKIDS,"Hiromasa Yonebayashi (director/screenplay); Riko Sakaguchi (screenplay); Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet, Jim Broadbent, Teresa Gallagher, Ewen Bremner, Rasmus Hardiker, Morwenna Banks, Lynda Baron"
12 Strong,Warner Bros. Pictures / Alcon Entertainment / Jerry Bruckheimer Films,"Nicolai Fuglsig (director); Peter Craig, Ted Tally (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Rob Riggle, William Fichtner"
Den of Thieves,STX Entertainment,"Christian Gudegast (director/screenplay); Paul Scheuring (screenplay); Gerard Butler, 50 Cent, Pablo Schreiber, O'Shea Jackson Jr., Evan Jones, Dawn Olivieri, Mo McRae, Max Holloway"
Forever My Girl,Roadside Attractions,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey"
Maze Runner: The Death Cure,20th Century Fox,"Wes Ball (director); T.S. Nowlin (screenplay); Dylan O'Brien, Kaya Scodelario, Thomas Brodie-Sangster, Ki Hong Lee, Giancarlo Esposito, Aidan Gillen, Walton Goggins, Barry Pepper, Will Poulter, Patricia Clarkson"
The Insult,Cohen Media Group,"Ziad Doueiri (director/screenplay); Joelle Touma (screenplay); Adel Karam, Camille Salameh, Kamel El Basha"
Please Stand By,Magnolia Pictures,"Ben Lewin (director); Michael Golamco (screenplay); Dakota Fanning, Toni Collette, Alice Eve"
Winchester,Lionsgate / CBS Films,"The Spierig Brothers (director/screenplay); Helen Mirren, Jason Clarke, Sarah Snook, Angus Sampson"
A Fantastic Woman,Sony Pictures Classics,"Sebastián Lelio (director/screenplay); Gonzalo Maza (screenplay); Daniela Vega, Francisco Reyes"
Armed,GVN Releasing,"Mario Van Peebles (director/screenplay); Mario Van Peebles, William Fichtner, Ryan Guzman, Columbus Short, Laz Alonso"
The Cloverfield Paradox,Paramount Pictures / Netflix / Bad Robot Productions,"Julius Onah (director); Oren Uziel, Doug Jung (screenplay); Daniel Brühl, Elizabeth Debicki, Aksel Hennie, Gugu Mbatha-Raw, Chris O'Dowd, John Ortiz, David Oyelowo, Zhang Ziyi"
Bad Apples,Uncork'd Entertainment,"Bryan Coyne (director/screenplay); Brea Grant, Graham Skipper, Aly Fitzgerald, Heather Vaughn, Richard Riehle"
