Film,Production,Cast
2,The Killing of John Lennon,IFC First Take
4,One Missed Call,Warner Bros. Pictures / Alcon Entertainment / Kadokawa Pictures
9,The Business of Being Born,Red Envelope Entertainment / New Line Home Entertainment
11,First Sunday,Screen Gems / Cube Vision
18,27 Dresses,20th Century Fox / Fox 2000 Pictures / Spyglass Entertainment
25,How She Move,Paramount Vantage / MTV Films
1,The Eye,Lionsgate / Paramount Vantage / Cruise/Wagner Productions
6,How to Rob a Bank,IFC First Take
8,Fool's Gold,Warner Bros. Pictures
9,Bernard and Doris,HBO Films
11,Sita Sings the Blues,GKIDS
14,"Definitely, Maybe",Universal Pictures / Working Title Films
15,Diary of the Dead,The Weinstein Company / Dimension Films
22,Be Kind Rewind,New Line Cinema / Partizan Films
29,Bonneville,SenArt Films
7,"10,000 BC",Warner Bros. Pictures / Legendary Pictures / Centropolis Entertainment
14,Doomsday,Rogue Pictures / Intrepid Pictures / Crystal Sky Pictures
21,Drillbit Taylor,Paramount Pictures
28,21,Columbia Pictures / Relativity Media
4,Leatherheads,Universal Pictures / Smokehouse Pictures / Casey Silver Productions
11,Chaos Theory,Warner Bros. Pictures / Castle Rock Entertainment / Lone Star Film Group
18,88 Minutes,TriStar Pictures / Millennium Films / Emmett/Furla Films
25,Baby Mama,Universal Pictures / Relativity Media
30,Mister Lonely,IFC Films
2,Iron Man,Paramount Pictures / Marvel Studios
9,The Fall,Roadside Attractions
16,The Chronicles of Narnia: Prince Caspian,Walt Disney Pictures / Walden Media
20,The Flock,Genius Products
22,Indiana Jones and the Kingdom of the Crystal Skull,Paramount Pictures / Lucasfilm
23,"War, Inc.",First Look Studios
25,Recount,HBO Films
28,Savage Grace,IFC Films
30,The Foot Fist Way,Paramount Vantage / MTV Films / Gary Sanchez Productions
6,And When Did You Last See Your Father?,Sony Pictures Classics
13,The Children of Huang Shi,Sony Pictures Classics / Hyde Park Entertainment
20,Brick Lane,Sony Pictures Classics
27,Finding Amanda,Magnolia Pictures
2,Hancock,Columbia Pictures / Relativity Media / Overbrook Entertainment / Weed Road Pictures / Blue Light
3,The Wackness,Sony Pictures Classics / SBK Pictures
11,Garden Party,Roadside Attractions
18,The Dark Knight,Warner Bros. Pictures / Legendary Pictures / DC Comics / Syncopy
23,Boy A,The Weinstein Company
25,Brideshead Revisited,Miramax Films
1,Frozen River,Sony Pictures Classics
6,Pineapple Express,Columbia Pictures / Relativity Media / Apatow Productions
8,Beer For My Horses,Roadside Attractions
13,Tropic Thunder,Paramount Pictures / DreamWorks Pictures / Red Hour Films
15,Fly Me to the Moon,Summit Entertainment / nWave Pictures
20,The Rocker,20th Century Fox
22,Death Race,Universal Pictures / Relativity Media
26,The Little Mermaid: Ariel's Beginning,Walt Disney Studios Home Entertainment
27,Traitor,Overture Films
29,Babylon A.D.,20th Century Fox
5,Bangkok Dangerous,Lionsgate / Virtual Studios / Saturn Films
12,Burn After Reading,Focus Features / StudioCanal / Relativity Media / Working Title Films / Mike Zoss Productions
19,Battle in Seattle,Redwood Palms Pictures
26,Choke,Fox Searchlight Pictures
3,An American Carol,Vivendi Entertainment / Mpower Pictures
10,Body of Lies,Warner Bros. Pictures / Scott Free Productions
12,Flick,Peace Arch / AV Pictures / Monster Films
17,The Elephant King,Unison Films
24,Changeling,Universal Pictures / Imagine Entertainment
31,The Haunting of Molly Hartley,Freestyle Releasing
7,The Boy in the Striped Pajamas,Miramax Films
11,Animal Husbandry,ARM/Cinema 25
12,Slumdog Millionaire,Fox Searchlight Pictures
14,Quantum of Solace,Metro-Goldwyn-Mayer / Columbia Pictures / Eon Productions
21,Bolt,Walt Disney Pictures / Walt Disney Animation Studios
26,Australia,20th Century Fox
5,Cadillac Records,TriStar Pictures / Sony Music Entertainment / Parkwood Entertainment
10,The Reader,Metro-Goldwyn-Mayer / The Weinstein Company / Mirage Enterprises
12,Adulthood,Lionsgate
17,The Wrestler,Fox Searchlight Pictures
19,Nothing but the Truth,Freestyle Releasing
25,Bedtime Stories,Walt Disney Pictures
26,Revolutionary Road,Paramount Vantage / DreamWorks Pictures / BBC Films
31,Defiance,Paramount Vantage
