Film,Production,Cast
2,Cargo 200,The Disinformation Company
9,Bride Wars,20th Century Fox / Fox 2000 Pictures / Regency Enterprises
16,Cherry Blossoms,Strand Releasing / Olga Film GmbH
23,Donkey Punch,Magnolia Pictures
27,Open Season 2,Sony Pictures Home Entertainment / Sony Pictures Animation
30,The Class,Sony Pictures Classics
4,Our City Dreams,First Run Features
6,Coraline,Focus Features / Laika
7,Bob the Builder: On Site – Skyscrapers,Kidtoon Films / HIT Entertainment
13,Confessions of a Shopaholic,Touchstone Pictures / Jerry Bruckheimer Films
20,Anvil! The Story of Anvil,Abramorama
21,Taking Chance,HBO Films
25,Examined Life,Zeitgeist Films
27,An American Affair,Screen Media Films
4,12,Sony Pictures Classics
6,Horsemen,Lionsgate
7,Barbie Presents: Thumbelina,Universal Pictures / Kidtoon Films
13,Brothers at War,Samuel Goldwyn Films
18,Valentino: The Last Emperor,Truly Indie
20,Duplicity,Universal Pictures / Relativity Media
27,12 Rounds,20th Century Fox
1,Enlighten Up!,Balcony Releasing
3,Adventureland,Miramax Films / Sidney Kimmel Entertainment
4,Super Why! and WordWorld Celebrate Earth Day,Kidtoon Films
8,Lymelife,Screen Media Films
10,Anvil! The Story of Anvil,Abramorama
17,17 Again,New Line Cinema
18,Grey Gardens,HBO Films
22,Earth,Disneynature
24,Fighting,Rogue Pictures / Relativity Media
1,Battle for Terra,Lionsgate / Roadside Attractions
2,Thomas & Friends: The Great Discovery,Kidtoon Films / HIT Entertainment
8,Adoration,Sony Pictures Classics
15,Angels & Demons,Columbia Pictures / Imagine Entertainment / Skylark Productions
17,Make the Yuletide Gay,Guest House Films
18,Dogtooth,Boo Productions
21,Terminator Salvation,Warner Bros. Pictures / The Halcyon Company
22,Dance Flick,Paramount Pictures / MTV Films
27,Pressure Cooker,Bev Pictures
29,Departures,Regent Releasing
31,Into the Storm,HBO Films / BBC Films / Scott Free / Rainmark Films
3,Unmistaken Child,Oscilloscope
5,After Last Season,Index Square
6,Care Bears: Oopsy Does It!,Kidtoon Films
11,Doghouse,Alta Films
12,"Food, Inc.",Magnolia Pictures
19,$9.99,Regent Releasing
24,Transformers: Revenge of the Fallen,DreamWorks Pictures / Paramount Pictures
26,Chéri,Miramax Films
1,Ice Age: Dawn of the Dinosaurs,20th Century Fox Animation / Blue Sky Studios
3,The Girl from Monaco,Magnolia Pictures
10,Blood: The Last Vampire,Samuel Goldwyn Films
11,Sesame Street: Dinosaurs!,Kidtoon Films / Sesame Workshop
15,Harry Potter and the Half-Blood Prince,Warner Bros. Pictures / Heyday Films
17,(500) Days of Summer,Fox Searchlight Pictures
24,The Answer Man,Magnolia Pictures
29,Adam,Fox Searchlight Pictures
31,Aliens in the Attic,20th Century Fox / Regency Enterprises
1,My Little Pony: A Very Pony Place,Kidtoon Films / Hasbro
7,Cold Souls,Journeyman Pictures
14,Bandslam,Summit Entertainment
19,The Headless Woman,Strand Releasing
21,Art & Copy,Seventh Art Releasing
28,Big Fan,First Independent Pictures
4,All About Steve,20th Century Fox / Fox 2000 Pictures
8,Thomas & Friends: Hero of the Rails,Kidtoon Films / HIT Entertainment
9,9,Focus Features / Relativity Media
11,Beyond A Reasonable Doubt,Anchor Bay Entertainment
12,Mr. Nobody,Wild Bunch Distribution
16,35 Shots of Rum,Wild Bunch Distribution
18,Bright Star,Apparition
19,Blind Date,Variance Films
22,Scooby-Doo! The Mystery Begins,Cartoon Network / Warner Premiere
25,The Boys Are Back,Miramax Films
2,Capitalism: A Love Story,The Weinstein Company
3,Barney's Jungle Friends,Kidtoon Films / HIT Entertainment
6,Assassination of a High School President,Yari Film Group
9,Bronson,Vertigo Films
10,Virginia Creepers,Horse Archer Productions
16,Assassin's Creed: Lineage,Ubisoft
23,Adventures of Power,Variance Films / Phase 4 Films
24,Halloweenight,Polonia Bros. Entertainment
28,Michael Jackson's This Is It,Columbia Pictures
30,The Boondock Saints II: All Saints Day,Stage 6 Films
6,The Box,Warner Bros. Pictures / Media Rights Capital
7,My Little Pony: Twinkle Wish Adventure,Kidtoon Films / Hasbro
13,2012,Columbia Pictures / Centropolis Entertainment
20,Bad Lieutenant: Port of Call New Orleans,First Look Studios / Millennium Films / Saturn Films
25,Me and Orson Welles,Freestyle Releasing
27,The Private Lives of Pippa Lee,Screen Media Films
2,Made for Each Other,IFC Films
4,Armored,Screen Gems
5,Curious George: A Very Monkey Christmas/Olivia's Winter Wonderland,Kidtoon Films
9,Trick 'r Treat,Warner Premiere / Legendary Pictures / Bad Hat Harry Productions
11,Invictus,Warner Bros. Pictures / Spyglass Entertainment
16,Crazy Heart,Fox Searchlight Pictures
18,Avatar,20th Century Fox / Lightstorm Entertainment
22,American Pie Presents: The Book of Love,Universal Pictures
23,Alvin and the Chipmunks: The Squeakquel,20th Century Fox / Fox 2000 Pictures / Regency Enterprises
25,The Imaginarium of Doctor Parnassus,Sony Pictures Classics
30,The Loss of a Teardrop Diamond,Screen Media Films
