Film,Production,Cast
Crawlspace,IFC Films,"Justin Dix (director); Amber Clayton, Eddie Baroo, Nicholas Bell"
A Dark Truth,Magnolia Pictures,"Damian Lee (director/screenwriter); Andy García, Kim Coates, Deborah Kara Unger, Alec Rayme, David Anders, Henry Kingi, Eva Longoria, Forest Whitaker"
Table No. 21,Eros International,"Aditya Datt (director); Jimmy-sen (screenplay); Rajeev Khandelwal, Tina Desai, Paresh Rawal, Dhruv Ganesh"
Texas Chainsaw 3D,Lionsgate,"John Luessenhop (director); Kirsten Elms, Adam Marcus, Debra Sullivan (screenplay); Alexandra Daddario, Dan Yeager, Trey Songz, Tania Raymonde, Thom Barry, Paul Rae, Bill Moseley, Gunnar Hansen"
The Grandmaster,Block 2 Pictures / Jet Tone Films,"Wong Kar-wai (director/screenplay); Tony Leung Chiu-wai, Zhang Ziyi, Chang Chen, Zhao Benshan, Song Hye-kyo, Wang Qingxiang"
The Baytown Outlaws,Phase 4 Films,"Barry Battles (director); Andre Braugher, Clayne Crawford, Daniel Cudmore, Travis Fimmel, Eva Longoria, Paul Wesley, Billy Bob Thornton"
Freeloaders,Myriad Pictures,"Dan Rosen (director); Josh Lawson, Kevin Sussman, Zoe Boyle, Nat Faxon, Warren Hutcherson, Brit Morgan, Clifton Collins Jr., Jane Seymour, Olivia Munn, Dave Foley"
Gangster Squad,Warner Bros. Pictures / Village Roadshow Pictures,"Ruben Fleischer (director); Will Beall (screenplay); Ryan Gosling, Emma Stone, Sean Penn, Josh Brolin, Robert Patrick, Michael Peña, Giovanni Ribisi, Anthony Mackie, Nick Nolte, Wade Williams, Mireille Enos, Sullivan Stapleton, Frank Grillo, Jon Polito"
A Haunted House,Open Road Films,"Michael Tiddes (director); Marlon Wayans, Rick Alvarez (screenplay); Marlon Wayans, Nick Swardson, David Koechner, Essence Atkins, Cedric the Entertainer, Alanna Ubach, Jamie Noel"
Horrid Henry: The Movie,Phase 4 Films,"Nick Moore (director); Lucinda Whiteley (screenplay); Theo Stevenson, Richard E. Grant, Parminder Nagra, Kimberley Walsh, Mathew Horne, Siobhan Hayes, Dick and Dom, Noel Fielding, Jo Brand, Anjelica Huston"
Matru Ki Bijlee Ka Mandola,Fox Star Studios,"Vishal Bhardwaj (director/screenplay); Abhishek Chaubey (screenplay); Imran Khan, Anushka Sharma, Pankaj Kapur, Shabana Azmi, Aarya Babbar, Aamir Khan, Ajay Devgn"
Struck by Lightning,Tribeca Film,"Brian Dannelly (director); Chris Colfer (screenplay); Chris Colfer, Allison Janney, Christina Hendricks, Sarah Hyland, Carter Jenkins, Brad William Henke, Rebel Wilson, Angela Kinsey, Polly Bergen, Dermot Mulroney, Allie Grant, Ashley Rickards, Robbie Amell, Charlie Finn, Matt Prokop, Adam Kolkin"
Broken City,20th Century Fox / Regency Enterprises,"Allen Hughes (director); Brian Tucker (screenplay); Mark Wahlberg, Russell Crowe, Catherine Zeta-Jones, Barry Pepper, Kyle Chandler, Natalie Martinez, Justin Chambers, Alona Tal, Jeffrey Wright, Catherine Kim Poon, Justin Chambers, Alona Tal, James Rawlings, James Ransone, Judd Lormand"
The Last Stand,Lionsgate,"Kim Ji-woon (director); Andrew Knauer, Jeffrey Nachmanoff (screenplay); Arnold Schwarzenegger, Forest Whitaker, Peter Stormare, Jaimie Alexander, Rodrigo Santoro, Zach Gilford, Johnny Knoxville, Harry Dean Stanton, Luis Guzmán, Genesis Rodriguez, Daniel Henney"
Luv,Indomina Media,"Sheldon Candis (director/screenplay); Common, Dennis Haysbert, Danny Glover, Charles S. Dutton, Meagan Good"
Mama,Universal Pictures,"Andy Muschietti (director/screenplay); Neil Cross, Barbara Muschietti (screenplay); Jessica Chastain, Nikolaj Coster-Waldau, Daniel Kash, David Fox"
Officer Down,Anchor Bay Films,"Brian A Miller (director); John Chase (screenplay); Stephen Dorff, Dominic Purcell, David Boreanaz, Soulja Boy, Stephen Lang, James Woods, Walton Goggins, Tommy Flanagan, Oleg Taktarov, Johnny Messner"
Hansel & Gretel: Witch Hunters,Paramount Pictures / Metro-Goldwyn-Mayer / MTV Films / Gary Sanchez Productions,"Tommy Wirkola (director/screenplay); Dante Harper (screenplay); Jeremy Renner, Gemma Arterton, Zoë Bell, Famke Janssen, Peter Stormare, Ingrid Bolsø Berdal, Derek Mears, Thomas Mann, Pihla Viitala, Robin Atkin Downes, Rainer Bock, Monique Ganderton, Joanna Kulig"
Happy People: A Year in the Taiga,Studio Babelsberg,"Dmitry Vasyukov, Werner Herzog (directors)"
John Dies at the End,Magnolia Pictures,"Don Coscarelli (director/screenplay); Chase Williamson, Rob Mayes, Paul Giamatti, Clancy Brown, Glynn Turman, Doug Jones, Daniel Roebuck, Jimmy Wong, Angus Scrimm, Fabiane Therese"
Knife Fight,IFC Films,"Bill Guttentag (director/screenplay); Chris Lehane (screenplay); Rob Lowe, Carrie-Anne Moss, Jamie Chung, Richard Schiff, Eric McCormack, Julie Bowen, Jennifer Morrison, Amanda Crew, Saffron Burrows, Shirley Manson, Davey Havok"
Movie 43,Relativity Media / Rogue Pictures,"Patrik Forsberg (director/screenplay); Elizabeth Banks, Steven Brill, Steve Carr, Rusty Cundieff, James Duffy, Griffin Dunne, Peter Farrelly, James Gunn, Bob Odenkirk, Brett Ratner, Jonathan van Tulleken (directors); Steve Baker, Will Carlough, Matt Portenoy, Greg Pritikin, Rocky Russo, Jeremy Sosenko, Elizabeth Wright Shapiro (screenplay); Elizabeth Banks, Kristen Bell, Halle Berry, Leslie Bibb, Kate Bosworth, Gerard Butler, Josh Duhamel, Anna Faris, Richard Gere, Terrence Howard, Hugh Jackman, Johnny Knoxville, Justin Long, Christopher Mintz-Plasse, Chloë Grace Moretz, Liev Schreiber, Emma Stone, Jason Sudeikis, Uma Thurman, Naomi Watts, Kate Winslet"
Parker,FilmDistrict,"Taylor Hackford (director); John McLaughlin (screenplay); Jason Statham, Jennifer Lopez, Bobby Cannavale, Clifton Collins Jr., Wendell Pierce, Michael Chiklis, Nick Nolte, Sala Baker"
Supporting Characters,Tribeca Productions,"Daniel Schechter; Alex Karpovsky, Tarik Lowe, Melonie Diaz, Arielle Kebbel, Sophia Takal"
The Taste of Money,IFC Films,"Im Sang-soo (director); Kim Kang-woo, Youn Yuh-jung, Kim Hyo-jin, Baek Yoon-sik"
Television,Chabial,"Mostofa Sarwar Farooki (director); Anisul Haque (screenplay); Chanchal Chowdhury, Shahir Kazi Huda, Mosharraf Karim, Iman Lee, Nusrat Imroz Tisha"
Yossi,Strand Releasing,"Eytan Fox (director); Ohad Knoller, Oz Zehavi, Lior Ashkenazi, Orly Silbersatz Banai"
As Luck Would Have It,IFC Films,"Álex de la Iglesia (director); José Sánchez Mota, Salma Hayek"
Bullet to the Head,Warner Bros. Pictures / Dark Castle Entertainment / IM Global,"Walter Hill (director/screenplay); Alessandro Camon (screenplay); Sylvester Stallone, Sung Kang, Sarah Shahi, Adewale Akinnuoye-Agbaje, Christian Slater, Jason Momoa, Jon Seda, Brian Van Holt, Holt McCallany"
The Haunting in Connecticut 2: Ghosts of Georgia,Lionsgate / Gold Circle Films,"Tom Elkins (director); Dave Coggeshall (screenplay); Chad Michael Murray, Abigail Spencer, Katee Sackhoff, Cicely Tyson, Emily Alyn Lind"
Sound City,Therapy Studios,Dave Grohl (director); Mark Monroe (screenplay)
Stand Up Guys,Lionsgate / Lakeshore Entertainment,"Fisher Stevens (director); Noah Haidle (screenplay); Al Pacino, Christopher Walken, Julianna Margulies, Mark Margolis, Alan Arkin, Bill Burr"
Warm Bodies,Summit Entertainment / Mandeville Films,"Jonathan Levine (director/screenplay); Nicholas Hoult, Teresa Palmer, Rob Corddry, John Malkovich, Analeigh Tipton, Dave Franco, Cory Hardrict"
A Glimpse Inside the Mind of Charles Swan III,A24,"Roman Coppola (director/screenplay); Charlie Sheen, Jason Schwartzman, Bill Murray, Katheryn Winnick, Patricia Arquette, Aubrey Plaza, Mary Elizabeth Winstead"
I Give It a Year,Working Title Films,"Dan Mazer (director/screenplay); Rose Byrne, Anna Faris, Rafe Spall, Simon Baker, Minnie Driver, Stephen Merchant"
Identity Thief,Universal Pictures / Relativity Media / Bluegrass Films,"Seth Gordon (director); Steve Conrad, Craig Mazin (screenplay); Jason Bateman, Melissa McCarthy, Amanda Peet, John Cho, Clark Duke, Maggie Elizabeth Jones, Mary-Charles Jones, Jon Favreau, Genesis Rodriguez, Eric Stonestreet, T.I., Ben Falcone, Morris Chestnut, Justin Wheelon"
Side Effects,Open Road Films / Endgame Entertainment / Di Bonaventura Pictures,"Steven Soderbergh (director); Scott Z. Burns (screenplay); Rooney Mara, Jude Law, Channing Tatum, Catherine Zeta-Jones, Vinessa Shaw, David Costabile"
Special 26,Viacom18 Motion Pictures,"Neeraj Pandey (director/screenplay); Akshay Kumar, Kajal Aggarwal, Anupam Kher, Jimmy Shergill, Divya Dutta, Manoj Bajpai, Kharaj Mukherjee, Rajesh Sharma, Kishor Kadam, Deepraj Rana"
Top Gun 3D,Paramount Pictures,"Tony Scott (director); Jim Cash, Jack Epps Jr. (screenplay); Tom Cruise, Kelly McGillis, Val Kilmer, James Tolkan, Tom Skerritt, Rick Rossovich, Michael Ironside, John Stockwell, Tim Robbins, Whip Hubley, Barry Tubb, David Patterson, Adrian Pasdar, Clarence Gilyard Jr., Duke Stroud, Linda Rae Jurgens"
Journey to the West: Conquering the Demons,Huayi Brothers / China Film Group,"Stephen Chow, Derek Kwok (director); Huang Bo, Shu Qi, Wen Zhang, Show Lo, Chrissie Chau"
Beautiful Creatures,Warner Bros. Pictures / Alcon Entertainment,"Richard LaGravenese (director/screenplay); Viola Davis, Alice Englert, Emma Thompson, Emmy Rossum, Jeremy Irons, Alden Ehrenreich, Thomas Mann, Kyle Gallner"
A Good Day to Die Hard,20th Century Fox,"John Moore (director); Skip Woods (screenplay); Bruce Willis, Jai Courtney, Sebastian Koch, Yuliya Snigir, Radivoje Bukvić, Cole Hauser, Amaury Nolasco, Mary Elizabeth Winstead"
Safe Haven,Relativity Media,"Lasse Hallström (director); Dana Stevens, Leslie Bohem (screenplay); Josh Duhamel, Julianne Hough, David Lyons, Cobie Smulders, Mimi Kirkland, Noah Lomax, Mike Pniewski"
Escape from Planet Earth,The Weinstein Company / Rainmaker Entertainment,"Cal Brunker (director/screenplay); Bob Barlen (screenplay); Brendan Fraser, Rob Corddry, Jessica Alba, William Shatner, Sarah Jessica Parker, Jane Lynch, Sofía Vergara, George Lopez, Craig Robinson"
"Bless Me, Ultima",Arenas Entertainment,"Carl Franklin (director/screenplay); Míriam Colón, Benito Martinez, Dolores Heredia, Cástulo Guerra"
Dark Skies,Dimension Films / Alliance Films / Blumhouse Productions,"Scott Charles Stewart (director/screenplay); Keri Russell, Josh Hamilton, Dakota Goyo"
Kai Po Che!,UTV Motion Pictures,"Abhishek Kapoor (director/screenplay); Chetan Bhagat (screenplay); Sushant Singh Rajput, Amit Sadh, Raj Yadav, Amrita Puri, Ajay Jadeja"
Snitch,Summit Entertainment / Exclusive Media / Participant Media / Image Nation,"Ric Roman Waugh (director/screenplay); Justin Haythe (screenplay); Dwayne Johnson, Susan Sarandon, Benjamin Bratt, Barry Pepper"
To the Wonder,Magnolia Pictures,"Terrence Malick (director/screenplay); Ben Affleck, Olga Kurylenko, Rachel McAdams, Javier Bardem, Charles Baker, Romina Mondello"
21 & Over,Relativity Media / Mandeville Films / Virgin Produced,"Jon Lucas, Scott Moore (director/screenplay); Miles Teller, Justin Chon, Skylar Astin, Sarah Wright, François Chau, Jonathan Keltz, Daniel Booko, Dustin Ybarra"
The Attacks of 26/11,Eros International,"Ram Gopal Varma (director/Screenplay); Rommel Rodrigues (screenplay); Nana Patekar, Sanjeev Jaiswal, Atul Kulkarni, Jitendra Joshi, Saad Orhaan, Ashish Bhatt, Ganesh Yadav, Farzad Jehani"
"I, Me Aur Main",Reliance Entertainment,"Kapil Sharma (director/screenplay); Shrishti Behl Arya (screenplay); John Abraham, Prachi Desai, Chitrangada Singh, Zarina Wahab, Raima Sen"
Jack the Giant Slayer,Warner Bros. Pictures / New Line Cinema / Legendary Pictures / Original Film / Bad Hat Harry Productions,"Bryan Singer (director); Dan Studney, Darren Lemke, Christopher McQuarrie (screenplay); Nicholas Hoult, Eleanor Tomlinson, Stanley Tucci, Ewan McGregor, Bill Nighy, Ian McShane, Eddie Marsan, John Kassir"
The Last Exorcism Part II,CBS Films,"Ed Gass-Donnelly (director/screenplay); Damien Chazelle (screenplay); Ashley Bell, Spencer Treat Clark, Muse Watson, Louis Herthum, Judd Lormand"
Phantom,RCR Media Group,"Todd Robinson (director/screenplay); Ed Harris, David Duchovny, William Fichtner, Sean Patrick Flanery"
Stoker,Fox Searchlight Pictures,"Park Chan-wook (director); Wentworth Miller (screenplay); Mia Wasikowska, Nicole Kidman, Matthew Goode, Dermot Mulroney, Jacki Weaver, Alden Ehrenreich, Lucas Till"
Dead Man Down,FilmDistrict,"Niels Arden Oplev (director); J. H. Wyman (screenplay); Colin Farrell, Noomi Rapace, Dominic Cooper, Terrence Howard, Wade Barrett"
Emperor,Lionsgate / Roadside Attractions,"Peter Webber (director); Vera Blasi David Klass (screenplay); Matthew Fox, Tommy Lee Jones, Eriko Hatsune, Toshiyuki Nishida"
I'm So Excited,El Deseo,"Pedro Almodóvar (director/screenplay); Javier Cámara, Cecilia Roth, Lola Dueñas, Raúl Arévalo, Miguel Ángel Silvestre, Hugo Silva, Guillermo Toledo, Blanca Suárez, Antonio Banderas, Penélope Cruz, Paz Vega, Carmen Machi"
Oz the Great and Powerful,Walt Disney Pictures / Roth Films,"Sam Raimi (director); David Lindsay-Abaire, Mitchell Kapner (screenplay); James Franco, Mila Kunis, Michelle Williams, Rachel Weisz, Joey King, Zach Braff, Bruce Campbell, Abigail Spencer, Tony Cox, Bill Cobbs"
The Knight,Summit Entertainment / Scott Free,"Ridley Scott (director); Arnis Hasi, Christoph Waltz, Roy Schneider, Robert Joy and Michelle Yeoh"
Goddess,The Film Company,"Mark Lamprell (director/Screenplay); Joanna Weinberg (screenplay); Magda Szubanski, Ronan Keating, Laura Michelle Kelly, Dustin Clare, Hugo Johnstone-Burt, Corinne Grant, Pia Miranda, Natalie Tran"
The Call,TriStar Pictures / WWE Studios / Troika Pictures,"Brad Anderson (director); Richard D'Ovidio (screenplay); Abigail Breslin, Halle Berry, Morris Chestnut, Michael Eklund, Michael Imperioli, David Otunga"
The Incredible Burt Wonderstone,Warner Bros. Pictures / New Line Cinema,"Don Scardino (director); Chad Kultgen, John Francis Daley, Jonathan M. Goldstein (screenplay); Steve Carell, Jim Carrey, Steve Buscemi, Olivia Wilde, James Gandolfini, Alan Arkin, Gillian Jacobs, Zachary Gordon, Brad Garrett, Jay Mohr, David Copperfield"
