Film,Production,Cast
The Forest,Gramercy Pictures / Focus Features,"Jason Zada (director); Natalie Dormer, Taylor Kinney, Yukiyoshi Ozawa, Eoin Macken"
Anesthesia,IFC Films,"Tim Blake Nelson (director); Glenn CloseK. Todd Freeman, Jessica Hecht, Gretchen Mol, Tim Blake Nelson, Gloria Reuben, Kristen Stewart, Corey Stoll, Mickey Sumner, Yul Vazquez, Sam Waterston, Michael K. Williams"
Lamb,The Orchard,"Ross Partridge (director); Ross Partridge, Oona Laurence, Jess Weixler, Tom Bower"
Ride Along 2,Universal Pictures,"Tim Story (director); Ice Cube, Kevin Hart, Ken Jeong, Benjamin Bratt, Olivia Munn, Bruce McGill, Tika Sumpter"
13 Hours: The Secret Soldiers of Benghazi,Paramount Pictures,"Michael Bay (director); James Badge Dale, John Krasinski, Max Martini"
Norm of the North,Lionsgate / Splash Entertainment,"Trevor Wall (director); Rob Schneider, Heather Graham, Ken Jeong, Colm Meaney, Loretta Devine, Gabriel Iglesias, Michael McElhatton (US), James Corden (UK), Bill Nighy"
The Benefactor,Samuel Goldwyn Films,"Andrew Renzi (director); Richard Gere, Dakota Fanning, Theo James, Clarke Peters, Brian Anthony Wilson, Dylan Baker, Cheryl Hines, Tibor Feldman"
Dirty Grandpa,Lionsgate / QED International,"Dan Mazer (director); Robert De Niro, Zac Efron, Aubrey Plaza, Zoey Deutch, Julianne Hough, Dermot Mulroney"
The 5th Wave,Columbia Pictures / GK Films,"J Blakeson (director); Chloë Grace Moretz, Nick Robinson, Ron Livingston, Maggie Siff, Alex Roe, Maria Bello, Maika Monroe, Zackary Arthur, Liev Schreiber"
The Boy,STXfilms,"William Brent Bell (director); Lauren Cohan, Rupert Evans, Jim Norton, Diana Hardcastle"
Synchronicity,POPfilms / Soapbox Films,"Jacob Gentry (director); Chad McKnight, A. J. Bowen, Brianne Davis, Scott Poythress, Michael Ironside"
Kung Fu Panda 3,20th Century Fox / DreamWorks Animation,"Jennifer Yuh Nelson, Alessandro Carloni (directors); Jack Black, Bryan Cranston, Dustin Hoffman, Angelina Jolie, J. K. Simmons, Seth Rogen, Lucy Liu, David Cross, Kate Hudson, James Hong, Randall Duk Kim, Jackie Chan"
The Finest Hours,Walt Disney Pictures,"Craig Gillespie (director); Chris Pine, Casey Affleck, Ben Foster, Holliday Grainger, John Ortiz, Eric Bana"
