Film,Production,Cast
5,Code Name: The Cleaner,New Line Cinema
10,Murder Party,Magnolia Pictures
12,Alpha Dog,Universal Pictures / Sidney Kimmel Entertainment / A-Mark Entertainment
19,The Hitcher,Rogue Pictures / Platinum Dunes
26,Blood & Chocolate,Metro-Goldwyn-Mayer / Lakeshore Entertainment
2,Because I Said So,Universal Pictures / Gold Circle Films
6,Cinderella III: A Twist in Time,Walt Disney Home Entertainment / Disneytoon Studios
9,Hannibal Rising,The Weinstein Company / Metro-Goldwyn-Mayer / Dino De Laurentiis Company
10,Pumpkinhead: Blood Feud,Castel Film Romania / MPCA
14,Daddy's Little Girls,Lionsgate / Tyler Perry Studios
16,Breach,Universal Pictures / Sidney Kimmel Entertainment
23,The Abandoned,Lionsgate
2,Black Snake Moan,Paramount Vantage
9,300,Warner Bros. Pictures / Legendary Pictures / Virtual Studios / Atmosphere Pictures / Cruel and Unusual Films
10,Life Support,HBO Films
11,1 More Hit,Gravitas Ventures
16,Dead Silence,Universal Pictures
23,The Hills Have Eyes 2,Fox Atomic
30,Blades of Glory,Paramount Pictures / DreamWorks Pictures / MTV Films / Red Hour Films
4,Are We Done Yet?,Columbia Pictures / Revolution Studios / RKO Pictures / Cubevision
5,The Reaping,Warner Bros. Pictures / Village Roadshow Pictures / Dark Castle Entertainment
6,Grindhouse,The Weinstein Company / Dimension Films / Troublemaker Studios
13,Aqua Teen Hunger Force Colon Movie Film for Theaters,First Look Pictures / Williams Street
20,Fracture,New Line Cinema / Castle Rock Entertainment
27,The Condemned,Lionsgate
2,Waitress,Fox Searchlight Pictures
4,Away from Her,Lionsgate
11,28 Weeks Later,Fox Atomic
16,Once,Fox Searchlight Pictures
18,Black Book,Sony Pictures Classics
25,Angel-A,EuropaCorp
27,Bury My Heart at Wounded Knee,HBO Films / Wolf Films / Traveler's Rest Films
1,Day Watch,Fox Searchlight Pictures
8,Hostel: Part II,Lionsgate
15,DOA: Dead or Alive,Dimension Films
22,1408,Metro-Goldwyn-Mayer / Dimension Films
27,Live Free or Die Hard,20th Century Fox
29,Evening,Focus Features
3,License to Wed,Warner Bros. Pictures / Village Roadshow Pictures / Phoenix Pictures
4,Clubland,Warner Independent Pictures
5,El Arca,Patagonik Film Group / Buena Vista International
6,Joshua,Fox Searchlight Pictures
7,Rise: Blood Hunter,Samuel Goldwyn Films
11,Harry Potter and the Order of the Phoenix,Warner Bros. Pictures / Heyday Films
13,Captivity,Lionsgate
20,Hairspray,New Line Cinema
25,Arctic Tale,Paramount Vantage
27,I Know Who Killed Me,TriStar Pictures / 360 Pictures
3,Becoming Jane,Miramax Films
8,Daddy Day Camp,TriStar Pictures / Revolution Studios
10,Rush Hour 3,New Line Cinema / Roger Birnbaum Productions
17,High School Musical 2,Disney–ABC Domestic Television
24,Mr. Bean's Holiday,Universal Pictures / Working Title Films
29,Balls of Fury,Rogue Pictures / Intrepid Pictures / Spyglass Entertainment
31,Death Sentence,20th Century Fox / Hyde Park Entertainment
7,3:10 to Yuma,Lionsgate / Relativity Media
14,The Brave One,Warner Bros. Pictures / Village Roadshow Pictures / Silver Pictures
21,The Assassination of Jesse James by the Coward Robert Ford,Warner Bros. Pictures / Virtual Studios / Scott Free Productions / Plan B Entertainment
28,Feast of Love,Metro-Goldwyn-Mayer / Lakeshore Entertainment
29,The Darjeeling Limited,Fox Searchlight Pictures
5,Feel the Noise,TriStar Pictures / Sony BMG Music Entertainment
12,Across the Universe,Columbia Pictures / Revolution Studios
16,Return to House on Haunted Hill,Warner Premiere / Dark Castle Home Entertainment
19,30 Days of Night,Columbia Pictures / Ghost House Pictures
26,Before the Devil Knows You're Dead,ThinkFilm
2,American Gangster,Universal Pictures / Imagine Entertainment / Relativity Media / Scott Free Productions
9,Borderland,Lionsgate / After Dark Films
14,Southland Tales,Destination Films / Samuel Goldwyn Films
16,Beowulf,Paramount Pictures / Shangri-La Entertainment / ImageMovers
21,August Rush,Warner Bros. Pictures
28,The Savages,Fox Searchlight Pictures
30,Awake,The Weinstein Company
5,Juno,Fox Searchlight Pictures
7,The Amateurs,First Look Studios
12,The Perfect Holiday,Destination Films
14,Alvin and the Chipmunks,20th Century Fox / Fox 2000 Pictures / Regency Enterprises
21,Charlie Wilson's War,Universal Pictures / Relativity Media / Participant Productions / Playtone
25,Aliens vs. Predator: Requiem,20th Century Fox
26,There Will Be Blood,Paramount Vantage
28,The Orphanage,Picturehouse
