Film,Production,Cast
M3GAN,Universal Pictures / Blumhouse Productions / Atomic Monster Productions,"Gerard Johnstone (director); Akela Cooper (screenplay); Allison Williams, Violet McGraw, Amie Donald, Jenna Davis, Ronny Chieng, Brian Jordan Alvarez"
The Old Way,Saban Films / Saturn Films,"Brett Donowho (director); Carl W. Lucas (screenplay); Nicolas Cage, Ryan Kiera Armstrong"
The Devil Conspiracy,Samuel Goldwyn Films,"Nathan Frankowski (director); Ed Alan (screenplay); Alice Orr-Ewing, Joe Doyle, Eveline Hall, Peter Mensah, Joe Anderson, Spencer Wilding, Brian Caspe, James Faulkner"
Plane,Lionsgate / MadRiver Pictures / Di Bonaventura Pictures,"Jean-François Richet (director); Charles Cumming, J. P. Davis (screenplay); Gerard Butler, Mike Colter, Yoson An, Tony Goldwyn"
House Party,Warner Bros. Pictures / New Line Cinema,"Calmatic (director); Jamal Olori, Stephen Glover (screenplay); Tosin Cole, Jacob Latimore, Karen Obilom, D.C. Young Fly, Scott Mescudi"
Sick,Peacock / Miramax / Blumhouse Productions,"John Hyams (director); Kevin Williamson, Katelyn Crabb (screenplay); Gideon Adlon, Bethlehem Million, Marc Menchaca, Jane Adams"
The Drop,Hulu / Duplass Brothers Productions,"Sarah Adina Smith (director/screenplay); Joshua Leonard (screenplay); Anna Konkle, Jermaine Fowler, Jillian Bell, Utkarsh Ambudkar"
Dog Gone,Netflix,"Stephen Herek (director); Nick Santora (screenplay); Rob Lowe, Johnny Berchtold, Kimberly Williams-Paisley"
There's Something Wrong with the Children,Paramount Pictures / Blumhouse Productions,"Roxanne Benjamin (director); T. J. Cimfel, David White (screenplay); Alisha Wainwright, Zach Gilford, Amanda Crew, Carlos Santos"
Missing,Screen Gems / Stage 6 Films / Bazelevs Company,"Nick Johnson, Will Merrick (directors/screenplay); Storm Reid, Joaquim de Almeida, Ken Leung, Amy Landecker, Daniel Henney, Nia Long"
The Son,Sony Pictures Classics / Film4 Productions / Ingenious Media / See-Saw Films / Embankment Films,"Florian Zeller (director/screenplay); Christopher Hampton (screenplay); Hugh Jackman, Laura Dern, Vanessa Kirby, Zen McGrath, Hugh Quarshie, Anthony Hopkins"
When You Finish Saving the World,A24,"Jesse Eisenberg (director/screenplay); Julianne Moore, Finn Wolfhard, Alisha Boe, Jay O. Sanders, Billy Bryk, Eleonore Hendricks"
Detective Knight: Independence,Lionsgate,Edward John Drake (director/screenplay); Corey Large (screenplay); Bruce Willis
Kids vs. Aliens,RLJE Films / Shudder,"Jason Eisener (director/screenplay); John Davies (screenplay); Dominic Mariche, Phoebe Rex, Calem MacDonald, Asher Grayson"
Teen Wolf: The Movie,Paramount+ / MTV Entertainment Studios,"Russell Mulcahy (director); Jeff Davis (screenplay); Tyler Posey, Crystal Reed, Tyler Hoechlin, Holland Roden, Colton Haynes, Shelley Hennig, Dylan Sprayberry, Linden Ashby, Melissa Ponzio, JR Bourne"
You People,Netflix,"Kenya Barris (director/screenplay); Jonah Hill (screenplay); Jonah Hill, Lauren London, David Duchovny, Nia Long, Julia Louis-Dreyfus, Eddie Murphy"
Shotgun Wedding,Amazon Studios / Lionsgate / Mandeville Films,"Jason Moore (director); Mark Hammer (screenplay); Jennifer Lopez, Josh Duhamel, Sônia Braga, Jennifer Coolidge, Lenny Kravitz, Cheech Marin"
Maybe I Do,Vertical Entertainment / Fifth Season,"Michael Jacobs (director/screenplay); Diane Keaton, Richard Gere, Susan Sarandon, Emma Roberts, Luke Bracey, William H. Macy"
Life Upside Down,IFC Films,"Cecilia Miniucchi (director/screenplay); Danny Huston, Radha Mitchell, Bob Odenkirk"
